ID_pcap,nombre,SID,RS,TP,IDS
1,T0866-VulnAccess-SMBv1,1917,talos,No,snort
1,T0866-VulnAccess-SMBv1,24303,talos,No,snort
2,T0866-RemoteAccess-VNC,560,talos,Si,snort
2,T0866-RemoteAccess-VNC,51018,talos,No,snort
2,T0866-RemoteAccess-VNC,58160,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41048,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41049,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41050,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41051,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41052,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41054,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41055,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41058,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41061,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41070,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41071,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41074,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41075,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41078,talos,Si,snort
3,T0848-RogueMaster-IEC-104,41079,talos,Si,snort
3,T0848-RogueMaster-IEC-104,52150,talos,Si,snort
3,T0848-RogueMaster-IEC-104,52151,talos,Si,snort
3,T0848-RogueMaster-IEC-104,52152,talos,Si,snort
3,T0848-RogueMaster-IEC-104,52155,talos,Si,snort
3,T0848-RogueMaster-IEC-104,52185,talos,Si,snort
3,T0848-RogueMaster-IEC-104,52189,talos,Si,snort
3,T0848-RogueMaster-IEC-104,52191,talos,Si,snort
3,T0848-RogueMaster-IEC-104,52192,talos,Si,snort
3,T0848-RogueMaster-IEC-104,52193,talos,Si,snort
3,T0848-RogueMaster-IEC-104,1917,talos,No,snort
4,T0848-RogueMaster-DNP3,1917,talos,No,snort
5,T0858-ChangeOPMode-Omron,15398,talos,Si,snort
5,T0858-ChangeOPMode-Omron,15399,talos,Si,snort
6,T0890-EscalPrivileges-NetLogon,1917,talos,No,snort
6,T0890-EscalPrivileges-NetLogon,24301,talos,No,snort
6,T0890-EscalPrivileges-NetLogon,51037,talos,No,snort
6,T0890-EscalPrivileges-NetLogon,55703,talos,Si,snort
6,T0890-EscalPrivileges-NetLogon,55704,talos,Si,snort
6,T0890-EscalPrivileges-NetLogon,55802,talos,Si,snort
6,T0890-EscalPrivileges-NetLogon,57280,talos,Si,snort
7,T0846-DiscoveryNmap-S7,-,talos,Si,snort
8,T0846-DiscoveryNmap-Modbus,15071,talos,No,snort
8,T0846-DiscoveryNmap-Modbus,17798,talos,Si,snort
8,T0846-DiscoveryNmap-Modbus,17799,talos,Si,snort
9,T0846-DiscoverMetasp-Modbus,15071,talos,No,snort
9,T0846-DiscoverMetasp-Modbus,17789,talos,Si,snort
10,T0888-DiscverFindID-Modbus,17788,talos,Si,snort
10,T0888-DiscverFindID-Modbus,15071,talos,No,snort
10,T0888-DiscverFindID-Modbus,17789,talos,Si,snort
10,T0888-DiscverFindID-Modbus,17790,talos,Si,snort
11,T0888-DiscoverInfo-DNP3_[1].pcapng,1917,talos,No,snort
12,T0846-Discovery-BacNet,-,talos,Si,snort
13,T0846-Discovery-IEC104,1917,talos,No,snort
13,T0846-Discovery-IEC104,41048,talos,Si,snort
13,T0846-Discovery-IEC104,41052,talos,Si,snort
13,T0846-Discovery-IEC104,41055,talos,Si,snort
13,T0846-Discovery-IEC104,41058,talos,Si,snort
13,T0846-Discovery-IEC104,41070,talos,Si,snort
13,T0846-Discovery-IEC104,52150,talos,Si,snort
13,T0846-Discovery-IEC104,52185,talos,Si,snort
13,T0846-Discovery-IEC104,52191,talos,Si,snort
14,T0888-ScanInfo-MQTT,-,talos,Si,snort
15,T0888-ScanInfo-OPCUA-Nmap,1390,talos,No,snort
15,T0888-ScanInfo-OPCUA-Nmap,1917,talos,No,snort
15,T0888-ScanInfo-OPCUA-Nmap,24378,talos,Si,snort
15,T0888-ScanInfo-OPCUA-Nmap,29456,talos,No,snort
15,T0888-ScanInfo-OPCUA-Nmap,365,talos,Si,snort
15,T0888-ScanInfo-OPCUA-Nmap,384,talos,No,snort
15,T0888-ScanInfo-OPCUA-Nmap,408,talos,No,snort
15,T0888-ScanInfo-OPCUA-Nmap,51065,talos,Si,snort
15,T0888-ScanInfo-OPCUA-Nmap,51066,talos,Si,snort
16,T0888-ScanInfo-OPCUA-OpcScan,-,talos,Si,snort
17,T0888-ScanInfo-ENIP,-,talos,Si,snort
18,T0888-ScanInfo-OmronFINS,-,talos,Si,snort
19,T0843-ProgDownload-IEC104,1917,talos,No,snort
19,T0843-ProgDownload-IEC104,41047,talos,Si,snort
19,T0843-ProgDownload-IEC104,41048,talos,Si,snort
19,T0843-ProgDownload-IEC104,41051,talos,Si,snort
19,T0843-ProgDownload-IEC104,41052,talos,Si,snort
19,T0843-ProgDownload-IEC104,41053,talos,Si,snort
19,T0843-ProgDownload-IEC104,41054,talos,Si,snort
19,T0843-ProgDownload-IEC104,41055,talos,Si,snort
19,T0843-ProgDownload-IEC104,41056,talos,Si,snort
19,T0843-ProgDownload-IEC104,41057,talos,Si,snort
19,T0843-ProgDownload-IEC104,41058,talos,Si,snort
19,T0843-ProgDownload-IEC104,41059,talos,Si,snort
19,T0843-ProgDownload-IEC104,41060,talos,Si,snort
19,T0843-ProgDownload-IEC104,41061,talos,Si,snort
19,T0843-ProgDownload-IEC104,41062,talos,Si,snort
19,T0843-ProgDownload-IEC104,41063,talos,Si,snort
19,T0843-ProgDownload-IEC104,41064,talos,Si,snort
19,T0843-ProgDownload-IEC104,41065,talos,Si,snort
19,T0843-ProgDownload-IEC104,41066,talos,Si,snort
19,T0843-ProgDownload-IEC104,41067,talos,Si,snort
19,T0843-ProgDownload-IEC104,41068,talos,Si,snort
19,T0843-ProgDownload-IEC104,41069,talos,Si,snort
19,T0843-ProgDownload-IEC104,41070,talos,Si,snort
19,T0843-ProgDownload-IEC104,41071,talos,Si,snort
19,T0843-ProgDownload-IEC104,41072,talos,Si,snort
19,T0843-ProgDownload-IEC104,41073,talos,Si,snort
19,T0843-ProgDownload-IEC104,41074,talos,Si,snort
19,T0843-ProgDownload-IEC104,41075,talos,Si,snort
19,T0843-ProgDownload-IEC104,41076,talos,Si,snort
19,T0843-ProgDownload-IEC104,41077,talos,Si,snort
19,T0843-ProgDownload-IEC104,41078,talos,Si,snort
19,T0843-ProgDownload-IEC104,41079,talos,Si,snort
19,T0843-ProgDownload-IEC104,52150,talos,Si,snort
19,T0843-ProgDownload-IEC104,52151,talos,Si,snort
19,T0843-ProgDownload-IEC104,52154,talos,Si,snort
19,T0843-ProgDownload-IEC104,52155,talos,Si,snort
19,T0843-ProgDownload-IEC104,52158,talos,Si,snort
19,T0843-ProgDownload-IEC104,52187,talos,Si,snort
19,T0843-ProgDownload-IEC104,52189,talos,Si,snort
19,T0843-ProgDownload-IEC104,52191,talos,Si,snort
19,T0843-ProgDownload-IEC104,52192,talos,Si,snort
19,T0843-ProgDownload-IEC104,52195,talos,Si,snort
19,T0843-ProgDownload-IEC104,52196,talos,Si,snort
19,T0843-ProgDownload-IEC104,52198,talos,Si,snort
19,T0843-ProgDownload-IEC104,52199,talos,Si,snort
19,T0843-ProgDownload-IEC104,52200,talos,Si,snort
19,T0843-ProgDownload-IEC104,52201,talos,Si,snort
20,T0886-BruteForce-MQTT,-,talos,Si,snort
21,T0843-FileReadWrite-DNP3,1917,talos,No,snort
22,T0843-FileDownloadUpload-Modbus,17790,talos,Si,snort
22,T0843-FileDownloadUpload-Modbus,17782,talos,Si,snort
23,T0802-AutoCollect-OPCUA,1917,talos,No,snort
24,T0830-MiTM-BacNet-FIXED,1384,talos,No,snort
24,T0830-MiTM-BacNet-FIXED,1917,talos,No,snort
24,T0830-MiTM-BacNet-FIXED,24301,talos,No,snort
24,T0830-MiTM-BacNet-FIXED,51037,talos,No,snort
24,T0830-MiTM-BacNet-FIXED,29456,talos,No,snort
24,T0830-MiTM-BacNet-FIXED,384,talos,No,snort
24,T0830-MiTM-BacNet-FIXED,408,talos,No,snort
25,T0802-AutoCollect-SNMP,1411,talos,Si,snort
25,T0802-AutoCollect-SNMP,1417,talos,Si,snort
26,T0809-DataDestroy-OMRON,1390,talos,No,snort
26,T0809-DataDestroy-OMRON,1394,talos,No,snort
26,T0809-DataDestroy-OMRON,15389,talos,Si,snort
26,T0809-DataDestroy-OMRON,15390,talos,Si,snort
26,T0809-DataDestroy-OMRON,15391,talos,Si,snort
26,T0809-DataDestroy-OMRON,15392,talos,Si,snort
