ID,nombre,flujos_detectados,mensajes_detectados,instancias_detectadas,RS
1,T0866-VulnAccess-SMBv1,12,45,45,talos
2,T0866-RemoteAccess-VNC,1,1,1,talos
3,T0848-RogueMaster-IEC-104,6,40,50,talos
4,T0848-RogueMaster-DNP3,0,0,0,talos
5,T0858-ChangeOPMode-Omron,1,6,6,talos
6,T0890-EscalPrivileges-NetLogon,182,354,354,talos
7,T0846-DiscoveryNmap-S7,0,0,0,talos
8,T0846-DiscoveryNmap-Modbus,1,1,1,talos
9,T0846-DiscoverMetasp-Modbus,1,1,1,talos
10,T0888-DiscverFindID-Modbus,20,20,20,talos
11,T0888-DiscoverInfo-DNP3_[1].pcapng,0,0,0,talos
12,T0846-Discovery-BacNet,0,0,0,talos
13,T0846-Discovery-IEC104,0,0,0,talos
14,T0888-ScanInfo-MQTT,0,0,0,talos
15,T0888-ScanInfo-OPCUA-Nmap,4,20,20,talos
16,T0888-ScanInfo-OPCUA-OpcScan,0,0,0,talos
17,T0888-ScanInfo-ENIP,0,0,0,talos
18,T0888-ScanInfo-OmronFINS,0,0,0,talos
19,T0843-ProgDownload-IEC104,1,1448,1448,talos
20,T0886-BruteForce-MQTT,0,0,0,talos
21,T0843-FileReadWrite-DNP3,0,0,0,talos
22,T0843-FileDownloadUpload-Modbus,4,4,4,talos
23,T0802-AutoCollect-OPCUA,0,0,0,talos
24,T0830-MiTM-BacNet-FIXED,0,0,0,talos
25,T0802-AutoCollect-SNMP,1,45,45,talos
26,T0809-DataDestroy-OMRON,1,27,27,talos
27,T0814-DoS-OPCUA,0,0,0,talos
28,T0816-RestartAllenBradley-SNMP,1,1,1,talos
29,T0816-StopCommand-S7Comm,0,0,0,talos
30,T0814-DoS-PCC,0,0,0,talos
31,T0816-ShtDownAllenBradley-CIP,1,1,1,talos
32,T0816-ShutDown-Modbus,1,1,1,talos
33,T0836-ModifyParam-OmronFINS,3,3,3,talos
34,T0836-ModifParam-Modbus,1,1,1,talos
35,T0836-ModifParam-S7,0,0,0,talos
36,T0885-C&Cp502RWin-TCP,2,2,2,talos
37,T0885-C&Cp502Ignition-HTTP,4,4,4,talos
38,T0885-C&Cp20000RWin-TCP,2,2,2,talos
