%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	4	0x0400000000004000	1713695191.023398000	1713695201.602065000	10.578667000	1	3	eth:ipv4:tcp	02:1b:1b:86:23:00	02:c0:a8:01:0f:00	0x0800		192.168.1.15	07	"Private network"	59633	192.168.1.20	07	"Private network"	4840	6	0x00	1	02:1b:1b:86:23:00_02:c0:a8:01:0f:00_12	-_-	4840	opcua-tcp	12	10	345	1771	0	133	28.75	49.96701	0	6.071131	0.8815556	1.88319	1.134358	32.6128	0.09090909	-0.6739131	0x0931	1	93	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2447336074	11	345	0	11	1771	2	133	64240	22029.78	0	64240	3	1	2	0.25	0x011b	0x0008	1	6	0x0000001e	1460	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000244	0.00012	6.071109	1.05778	2.03283	0.00034	0	0x08	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	8	4	4	0.5	414	25026
B	4	0x0400000000004001	1713695191.023642000	1713695201.602043000	10.578401000	1	3	eth:ipv4:tcp	02:c0:a8:01:0f:00	02:1b:1b:86:23:00	0x0800		192.168.1.20	07	"Private network"	4840	192.168.1.15	07	"Private network"	59633	6	0x00	1	02:c0:a8:01:0f:00_02:1b:1b:86:23:00_10	-_-	4840	opcua-tcp	10	12	1771	345	0	1460	177.1	492.1412	0	6.071144	1.05784	2.032833	0.9453225	167.4166	-0.09090909	0.6739131	0x0c11	19035	46361	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2883464715	7	1771	3	10	346	0	1607	8192	8187.895	8135	8192	1	1	1	0	0x031b	0x0082	1	1	0x00000004	1460	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	9.6e-05	2.2016e-05	0.000451	0.0001480027	0.0001329846	1.057928	2.03283	0x08	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	7	3	3	0.4285714	402	45140
A	9	0x0400000002004000	1713695213.468508000	1713695216.499586000	3.031078000	1	4	eth:ipv4:udp:ssdp	02:1b:1b:86:23:00	01:00:5e:7f:ff:fa	0x0800		192.168.1.15	07	"Private network"	57525	239.255.255.250	10	"Organization-Local Scope"	1900	17	0x00	1	02:1b:1b:86:23:00_01:00:5e:7f:ff:fa_4	-_IPv4Multi	1900	ssdp	4	0	696	0	174	174	174	87	0	1.01233	0.7577695	0.5889239	1.319662	229.6213	1	1	0x0001	1	1	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667	1	1491	60332
A	10	0x0400000000004000	1713695213.755984000	1713695238.078591000	24.322607000	1	3	eth:ipv4:tcp	02:c0:a8:01:0f:00	02:1b:1b:86:23:00	0x0800		192.168.1.20	07	"Private network"	4840	192.168.1.15	07	"Private network"	59633	6	0x00	1	02:c0:a8:01:0f:00_02:1b:1b:86:23:00_2	-_-	59633	unknown	2	2	0	0	0	0	0	0	0	24.32261	12.1613	17.19868	0.08222803	0	0	0	0x0011	45451	0	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2883466487	1	0	1	2	0	0	0	8192	8192	8192	8192	0	0	0	0	0x0111	0x3082	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	3.4e-05	4.6016e-05	4.0008e-05	3.362928e-05	0	0	0x83	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	6	2	2	0.3333333	1431	137570
B	10	0x0400000000004001	1713695213.756030000	1713695238.078625000	24.322595000	1	3	eth:ipv4:tcp	02:1b:1b:86:23:00	02:c0:a8:01:0f:00	0x0800		192.168.1.15	07	"Private network"	59633	192.168.1.20	07	"Private network"	4840	6	0x00	1	02:1b:1b:86:23:00_02:c0:a8:01:0f:00_2	-_-	59633	unknown	2	2	0	0	0	0	0	0	0	24.3226	12.1613	17.19867	0.08222806	0	0	0	0x0111	335	335	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2447336421	2	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0x0010	0x2008	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	24.32256	24.32256	12.16128	17.19865	12.16132	17.19865	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	5	1	1	0.2	1491	60332
A	6	0x0400000000004000	1713695191.277088000	1713695248.000587000	56.723499000	1	3	eth:ipv4:tcp	02:c0:a8:01:0f:00	02:1b:1b:86:23:00	0x0800		192.168.1.20	07	"Private network"	4840	192.168.1.15	07	"Private network"	59628	6	0x00	1	02:c0:a8:01:0f:00_02:1b:1b:86:23:00_4	-_-	59628	unknown	4	4	0	0	0	0	0	0	0	32.42268	14.18088	14.18465	0.07051751	0	0	0	0x0011	8540	26086	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1204296348	1	0	3	4	0	0	0	8192	8192	8192	8192	0	0	0	0	0x0111	0x0082	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	3.3984e-05	3.8e-05	3.5484e-05	1.708373e-05	0	0	0x83	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	2	2	0.5	1431	137570
B	6	0x0400000000004001	1713695191.277122000	1713695248.000625000	56.723503000	1	3	eth:ipv4:tcp	02:1b:1b:86:23:00	02:c0:a8:01:0f:00	0x0800		192.168.1.15	07	"Private network"	59628	192.168.1.20	07	"Private network"	4840	6	0x00	1	02:1b:1b:86:23:00_02:c0:a8:01:0f:00_4	-_-	59628	unknown	4	4	0	0	0	0	0	0	0	32.42268	14.18088	14.18465	0.07051751	0	0	0	0x0111	128	458	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	990064951	4	0	0	4	0	3	0	0	0	0	0	0	0	0	1	0x0010	0x0008	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	8.100699	32.42265	14.18085	14.18463	14.18088	14.18463	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	1	1	0.3333333	1491	60332
A	13	0x0400000000004000	1713695224.373670000	1713695258.894512000	34.520842000	1	3	eth:ipv4:udp	02:1b:1b:86:23:00	ff:ff:ff:ff:ff:ff	0x0800		192.168.1.15	07	"Private network"	137	192.168.1.255	07	"Private network"	137	17	0x00	1	02:1b:1b:86:23:00_ff:ff:ff:ff:ff:ff_9	-_Broadcast	137	netbios-ns	9	0	450	0	50	50	50	16.66667	0	15.90886	3.835649	6.654547	0.2607121	13.0356	1	1	0x0001	1	1	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	1	1	0.3333333	1	1491	60332
A	8	0x0400000000004000	1713695203.726157000	1713695268.553641000	64.827484000	1	3	eth:ipv4:tcp	02:c0:a8:01:0f:00	02:1b:1b:86:23:00	0x0800		192.168.1.20	07	"Private network"	4840	192.168.1.15	07	"Private network"	59625	6	0x00	1	02:c0:a8:01:0f:00_02:1b:1b:86:23:00_2	-_-	59625	unknown	2	2	0	0	0	0	0	0	0	64.82748	32.41374	45.83995	0.03085111	0	0	0	0x0011	64878	0	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4162625179	1	0	1	2	0	0	0	8192	8192	8192	8192	0	0	0	0	0x0111	0x3082	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	3.2e-05	4e-05	3.6e-05	2.332381e-05	0	0	0x83	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	1431	137570
B	8	0x0400000000004001	1713695203.726189000	1713695268.553681000	64.827492000	1	3	eth:ipv4:tcp	02:1b:1b:86:23:00	02:c0:a8:01:0f:00	0x0800		192.168.1.15	07	"Private network"	59625	192.168.1.20	07	"Private network"	4840	6	0x00	1	02:1b:1b:86:23:00_02:c0:a8:01:0f:00_2	-_-	59625	unknown	2	2	0	0	0	0	0	0	0	64.82749	32.41375	45.83996	0.03085111	0	0	0	0x0111	925	925	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2077439504	2	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0x0010	0x2008	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	64.82745	64.82745	32.41373	45.83993	32.41376	45.83993	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	1491	60332
