%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0400000000004000	1651515674.967272000	1651515674.972415000	0.005143000	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	24:41:8c:64:12:11	0x0800		192.168.0.142	07	"Private network"	36809	192.168.0.64	07	"Private network"	44818	6	0x00	1	08:00:27:50:4c:14_24:41:8c:64:12:11_8	PcsSystem,US_IntelCorp,MY	44818	EtherNet/IP-2	8	6	183	98	0	86	22.875	36.76853	0	0.00137	0.000642875	0.0005518559	1555.512	35582.35	0.1428571	0.3024911	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2898746787	7	183	0	7	98	0	86	64240	64254.68	64240	64256	0	1	1	0	0x011b	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	168130072	0	0.004	672520.319943	1650843154.647329001	0.000192	0.000162048	0.001140032	0.0004668587	0.000455686	0.000209984	0	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	12	495
B	1	0x0400000000004001	1651515674.967464000	1651515674.972768000	0.005304000	1	3	eth:ipv4:tcp	24:41:8c:64:12:11	08:00:27:50:4c:14	0x0800		192.168.0.64	07	"Private network"	44818	192.168.0.142	07	"Private network"	36809	6	0x00	1	24:41:8c:64:12:11_08:00:27:50:4c:14_6	IntelCorp,MY_PcsSystem,US	44818	EtherNet/IP-2	6	8	98	183	0	70	16.33333	31.54764	0	0.002062	0.000884	0.001084254	1131.222	18476.62	-0.1428571	-0.3024911	0x0a11	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2918655123	6	98	0	6	183	0	70	65535	570027.5	0	1051136	2	1	3	0	0x061e	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	1.7984e-05	1.1968e-05	0.00138496	0.000524472	0.0006004534	0.0009913307	0.0007537864	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	6	98
A	8	0x0400000000004000	1651515674.970265000	1651515676.470484000	1.500219000	1	3	eth:ipv4:udp	24:41:8c:64:12:11	08:00:27:50:4c:14	0x0800		192.168.232.1	07	"Private network"	137	192.168.0.142	07	"Private network"	137	17	0x00	1	24:41:8c:64:12:11_08:00:27:50:4c:14_2	IntelCorp,MY_PcsSystem,US	137	netbios-ns	2	0	100	0	50	50	50	35.35534	0	1.500219	0.7501095	1.060815	1.333139	66.65694	1	1	0x0001	1	1	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	2	1	1	0.5	2	100
A	9	0x0400000000004001	1651515674.970271000	1651515676.470501000	1.500230000	1	3	eth:ipv4:icmp	08:00:27:50:4c:14	02:10:18:38:61:2c	0x0800		192.168.0.142	07	"Private network"	0	192.168.232.1	07	"Private network"	0	1	0x00	1	08:00:27:50:4c:14_02:10:18:38:61:2c_2	PcsSystem,US_-	0	unknown	2	0	156	0	78	78	78	55.15433	0	1.50023	0.750115	1.060823	1.333129	103.9841	-1	1	0x0001	175	175	64	64	0	0xc0	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x01	2	0x00000000_0x00000008_0x0008	0x00000000	0	9	4	1	1	1	0.25	1	4	312
A	6	0x0400000000004000	1651515674.970110000	1651515676.470484000	1.500374000	1	3	eth:ipv4:udp	24:41:8c:64:12:11	08:00:27:50:4c:14	0x0800		192.168.174.1	07	"Private network"	137	192.168.0.142	07	"Private network"	137	17	0x00	1	24:41:8c:64:12:11_08:00:27:50:4c:14_2	IntelCorp,MY_PcsSystem,US	137	netbios-ns	2	0	100	0	50	50	50	35.35534	0	1.500374	0.750187	1.060925	1.333001	66.65005	1	1	0x0001	1	1	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	2	1	1	0.5	2	100
A	7	0x0400000000004001	1651515674.970116000	1651515676.470512000	1.500396000	1	3	eth:ipv4:icmp	08:00:27:50:4c:14	02:10:18:38:61:2c	0x0800		192.168.0.142	07	"Private network"	0	192.168.174.1	07	"Private network"	0	1	0x00	1	08:00:27:50:4c:14_02:10:18:38:61:2c_2	PcsSystem,US_-	0	unknown	2	0	156	0	78	78	78	55.15433	0	1.500396	0.750198	1.06094	1.332981	103.9725	-1	1	0x0001	278	278	64	64	0	0xc0	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x01	2	0x00000000_0x00000008_0x0008	0x00000000	0	7	3	1	1	1	0.3333333	1	4	312
A	4	0x0400000000004000	1651515674.969994000	1651515676.470484000	1.500490000	1	3	eth:ipv4:udp	24:41:8c:64:12:11	08:00:27:50:4c:14	0x0800		192.168.1.190	07	"Private network"	137	192.168.0.142	07	"Private network"	137	17	0x00	1	24:41:8c:64:12:11_08:00:27:50:4c:14_2	IntelCorp,MY_PcsSystem,US	137	netbios-ns	2	0	100	0	50	50	50	35.35534	0	1.50049	0.750245	1.061007	1.332898	66.6449	1	1	0x0001	1	1	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	2	1	1	0.5	2	100
A	5	0x0400000000004001	1651515674.970001000	1651515676.470516000	1.500515000	1	3	eth:ipv4:icmp	08:00:27:50:4c:14	02:10:18:38:61:2c	0x0800		192.168.0.142	07	"Private network"	0	192.168.1.190	07	"Private network"	0	1	0x00	1	08:00:27:50:4c:14_02:10:18:38:61:2c_2	PcsSystem,US_-	0	unknown	2	0	156	0	78	78	78	55.15433	0	1.500515	0.7502575	1.061024	1.332876	103.9643	-1	1	0x0001	353	353	64	64	0	0xc0	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x01	2	0x00000000_0x00000008_0x0008	0x00000000	0	5	2	1	1	1	0.5	1	4	312
A	2	0x0400000000004000	1651515674.969869000	1651515676.470484000	1.500615000	1	3	eth:ipv4:udp	24:41:8c:64:12:11	08:00:27:50:4c:14	0x0800		192.168.56.1	07	"Private network"	137	192.168.0.142	07	"Private network"	137	17	0x00	1	24:41:8c:64:12:11_08:00:27:50:4c:14_2	IntelCorp,MY_PcsSystem,US	137	netbios-ns	2	0	100	0	50	50	50	35.35534	0	1.500615	0.7503075	1.061095	1.332787	66.63934	1	1	0x0001	1	1	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	1	1	0.5	2	100
A	3	0x0400000000004001	1651515674.969896000	1651515676.470520000	1.500624000	1	3	eth:ipv4:icmp	08:00:27:50:4c:14	02:10:18:38:61:2c	0x0800		192.168.0.142	07	"Private network"	0	192.168.56.1	07	"Private network"	0	1	0x00	1	08:00:27:50:4c:14_02:10:18:38:61:2c_2	PcsSystem,US_-	0	unknown	2	0	156	0	78	78	78	55.15433	0	1.500624	0.750312	1.061101	1.332779	103.9568	-1	1	0x0001	364	364	64	64	0	0xc0	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x01	2	0x00000000_0x00000008_0x0008	0x00000000	0	3	1	1	1	1	1	1	4	312
