%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0400000000004000	1651516167.770258	1651516167.773633	0.003375	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	24:41:8c:64:12:11	0x0800		192.168.0.142	07	Private network	41249	192.168.0.64	07	Private network	44818	6	0x00	1	08:00:27:50:4c:14_24:41:8c:64:12:11_7	PcsSystem,US_IntelCorp,MY	44818	EtherNet/IP-2	7	3	94	74	0	66	13.42857	26.59483	0	0.001155	0.0004821428	0.0004535769	2074.074	27851.85	0.4	0.1190476	0x0a13	16663	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1945460181	5	94	0	5	28	0	66	64240	44977.32	0	64256	1	1	2	0	0x011f	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	168622875	0	0.004	674491.532037	1650841676.2382212	0.000257024	0.000161984	0.001142016	0.0005203413	0.0005978171	0.000270016	0.0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2.0	1.0	11	406
B	1	0x0400000000004001	1651516167.770515	1651516167.773623	0.003108	1	3	eth:ipv4:tcp	24:41:8c:64:12:11	08:00:27:50:4c:14	0x0800		192.168.0.64	07	Private network	44818	192.168.0.142	07	Private network	41249	6	0x00	1	24:41:8c:64:12:11_08:00:27:50:4c:14_3	IntelCorp,MY_PcsSystem,US	44818	EtherNet/IP-2	3	7	74	94	0	46	24.66667	24.54927	0	0.001649	0.001036	0.0009956843	965.251	23809.53	-0.4	-0.1190476	0x0a11	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	642064350	3	28	0	3	94	0	46	65535	568114.8	65535	1051136	1	1	2	0	0x021a	0x3000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	1.2992e-05	1.0048e-05	0.001486976	0.000403712	0.0006078492	0.0009240534	0.0008525643	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1.0	1.0	3	74
A	10	0x0000000000000024	1651516168.605983	1651516168.605983	0.0	1	2	eth:lldp	24:41:8c:64:12:11	01:80:c2:00:00:0e	0x88cc		-	-	-	0	-	-	-	0	0	0x00	1	24:41:8c:64:12:11_01:80:c2:00:00:0e_1	IntelCorp,MY_NearestBr	0	unknown	1	0	134	0	134	134	134.0	134.0	0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0.0	0.0	0	0
A	2	0x0400000000004000	1651516167.772289	1651516170.774173	3.001884	1	3	eth:ipv4:udp	24:41:8c:64:12:11	08:00:27:50:4c:14	0x0800		192.168.56.1	07	Private network	137	192.168.0.142	07	Private network	137	17	0x00	1	24:41:8c:64:12:11_08:00:27:50:4c:14_3	IntelCorp,MY_PcsSystem,US	137	netbios-ns	3	0	150	0	50	50	50.0	28.86751	0	1.501683	1.000628	0.9687585	0.9993724	49.96862	1.0	1.0	0x0001	1	1	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	2	1	1.0	0.5	3	150
A	3	0x0400000000004001	1651516167.772302	1651516170.774192	3.00189	1	3	eth:ipv4:icmp	08:00:27:50:4c:14	02:10:18:38:61:2c	0x0800		192.168.0.142	07	Private network	0	192.168.56.1	07	Private network	0	1	0x00	1	08:00:27:50:4c:14_02:10:18:38:61:2c_3	PcsSystem,US_-	0	unknown	3	0	234	0	78	78	78.0	45.03332	0	1.501662	1.00063	0.9687636	0.9993704	77.95089	-1.0	1.0	0x0001	169	373	64	64	0	0xc0	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x01	3	0x00000000_0x00000008_0x0008	0x00000000	0	3	4	1	1	1	0.25	1.0	8	624
A	4	0x0400000000004000	1651516167.772446	1651516170.774173	3.001727	1	3	eth:ipv4:udp	24:41:8c:64:12:11	08:00:27:50:4c:14	0x0800		192.168.1.190	07	Private network	137	192.168.0.142	07	Private network	137	17	0x00	1	24:41:8c:64:12:11_08:00:27:50:4c:14_3	IntelCorp,MY_PcsSystem,US	137	netbios-ns	3	0	150	0	50	50	50.0	28.86751	0	1.501683	1.000576	0.9686978	0.9994246	49.97123	1.0	1.0	0x0001	1	1	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	2	1	1.0	0.5	3	150
A	5	0x0400000000004001	1651516167.772455	1651516170.774204	3.001749	1	3	eth:ipv4:icmp	08:00:27:50:4c:14	02:10:18:38:61:2c	0x0800		192.168.0.142	07	Private network	0	192.168.1.190	07	Private network	0	1	0x00	1	08:00:27:50:4c:14_02:10:18:38:61:2c_3	PcsSystem,US_-	0	unknown	3	0	234	0	78	78	78.0	45.03332	0	1.501678	1.000583	0.968707	0.9994173	77.95455	-1.0	1.0	0x0001	124	133	64	64	0	0xc0	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x01	3	0x00000000_0x00000008_0x0008	0x00000000	0	5	3	1	1	1	0.3333333	1.0	8	624
A	6	0x0400000000004000	1651516167.772446	1651516170.774173	3.001727	1	3	eth:ipv4:udp	24:41:8c:64:12:11	08:00:27:50:4c:14	0x0800		192.168.174.1	07	Private network	137	192.168.0.142	07	Private network	137	17	0x00	1	24:41:8c:64:12:11_08:00:27:50:4c:14_3	IntelCorp,MY_PcsSystem,US	137	netbios-ns	3	0	150	0	50	50	50.0	28.86751	0	1.501683	1.000576	0.9686978	0.9994246	49.97123	1.0	1.0	0x0001	1	1	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	2	1	1.0	0.5	3	150
A	7	0x0400000000004001	1651516167.772468	1651516170.77421	3.001742	1	3	eth:ipv4:icmp	08:00:27:50:4c:14	02:10:18:38:61:2c	0x0800		192.168.0.142	07	Private network	0	192.168.174.1	07	Private network	0	1	0x00	1	08:00:27:50:4c:14_02:10:18:38:61:2c_3	PcsSystem,US_-	0	unknown	3	0	234	0	78	78	78.0	45.03332	0	1.501688	1.000581	0.968703	0.9994197	77.95473	-1.0	1.0	0x0001	80	331	64	64	0	0xc0	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x01	3	0x00000000_0x00000008_0x0008	0x00000000	0	7	2	1	1	1	0.5	1.0	8	624
A	8	0x0400000000004000	1651516167.772547	1651516170.774173	3.001626	1	3	eth:ipv4:udp	24:41:8c:64:12:11	08:00:27:50:4c:14	0x0800		192.168.232.1	07	Private network	137	192.168.0.142	07	Private network	137	17	0x00	1	24:41:8c:64:12:11_08:00:27:50:4c:14_3	IntelCorp,MY_PcsSystem,US	137	netbios-ns	3	0	150	0	50	50	50.0	28.86751	0	1.501683	1.000542	0.9686587	0.9994583	49.97292	1.0	1.0	0x0001	1	1	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	1	1.0	0.5	3	150
