%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	43	0x0400000000004000	1722697816.703363000	1722697876.944660000	60.241297000	1	3	eth:ipv4:tcp	08:00:27:cc:73:ae	f8:0d:a9:a1:27:80	0x0800		192.168.1.200	07	"Private network"	51380	51.124.78.146	nl	"Microsoft Limited UK"	443	6	0x00	1	08:00:27:cc:73:ae_f8:0d:a9:a1:27:80_9	PcsSystem,US_-	443	https	9	7	795	4329	0	427	88.33334	158.2375	0	59.97794	6.693477	20.13721	0.1493992	13.19693	0.125	-0.6896955	0x0a11	1	1	128	128	0	0x02	0x0c40	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4034527319	8	795	0	8	4329	0	427	8192	62376.34	8192	66048	1	1	2	0	0x01db	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.04432698	0.04425901	0.05715802	0.04715473	0.004535759	0.04436499	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	4	0.6666667	2	717	36084
B	43	0x0400000000004001	1722697816.747690000	1722697876.944595000	60.196905000	1	3	eth:ipv4:tcp	f8:0d:a9:a1:27:80	08:00:27:cc:73:ae	0x0800		51.124.78.146	nl	"Microsoft Limited UK"	443	192.168.1.200	07	"Private network"	51380	6	0x00	1	f8:0d:a9:a1:27:80_08:00:27:cc:73:ae_7	-_PcsSystem,US	443	https	7	9	4329	795	0	1452	618.4286	756.8611	0	60.05719	8.599558	22.6907	0.116285	71.914	-0.125	0.6896955	0x0a11	1	1	111	111	0	0x02	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2439313897	7	4329	0	7	795	0	3749	65535	3708355	65535	4194560	2	1	3	0	0x035b	0x0000	1	6	0x0000001e	1440	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	3.8016e-05	3.8016e-05	60.00003	6.669563	20.15456	6.716718	20.15456	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	3	3	3	7	4329
A	38	0x0400000000004000	1722697812.846626000	1722697876.995241000	64.148615000	1	3	eth:ipv4:tcp	08:00:27:cc:73:ae	f8:0d:a9:a1:27:80	0x0800		192.168.1.200	07	"Private network"	51379	20.42.73.25	us	"Microsoft Corporation"	443	6	0x00	1	08:00:27:cc:73:ae_f8:0d:a9:a1:27:80_12	PcsSystem,US_-	443	https	12	11	4185	5111	0	1682	348.75	531.6426	0	60.55847	5.345718	17.46984	0.1870656	65.23914	0.04347826	-0.09961274	0x0a11	1	2	128	128	0	0x02	0x0c40	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2649354357	11	4185	0	11	5111	0	2453	8192	64309.86	8192	66048	2	1	3	0	0x01db	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09365702	0.09365702	1.60035	0.3684961	0.6065503	0.09369799	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	717	36084
B	38	0x0400000000004001	1722697812.940283000	1722697876.995196000	64.054913000	1	3	eth:ipv4:tcp	f8:0d:a9:a1:27:80;80:27:a1:a9:0d:f8	08:00:27:cc:73:ae	0x0800		20.42.73.25	us	"Microsoft Corporation"	443	192.168.1.200	07	"Private network"	51379	6	0x00	2	f8:0d:a9:a1:27:80_08:00:27:cc:73:ae_9;80:27:a1:a9:0d:f8_08:00:27:cc:73:ae_2	-_PcsSystem,US;-_PcsSystem,US	443	https	11	12	5111	4185	0	1452	464.6364	717.1312	0	60.71123	5.823174	18.21335	0.1717276	79.79091	-0.04347826	0.09961274	0x0a11	1	1	109	109	0	0x02	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	807764643	11	5111	0	11	4185	0	4226	65535	4077974	65535	4194816	2	2	3	0	0x035b	0x0000	1	6	0x0000001e	1440	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	4.096e-05	4.096e-05	60.60343	5.055276	17.56527	5.423772	17.57574	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	11	5111
A	86	0x0400000000004000	1722697873.156609000	1722697933.213059000	60.056450000	1	3	eth:ipv4:tcp	08:00:27:cc:73:ae	f8:0d:a9:a1:27:80	0x0800		192.168.1.200	07	"Private network"	51385	184.28.177.5	es	"Akamai Technologies"	80	6	0x00	1	08:00:27:cc:73:ae_f8:0d:a9:a1:27:80_9	PcsSystem,US_-	80	http	9	9	849	801	0	286	94.33334	152.4597	0	59.94973	6.672939	20.13428	0.149859	14.1367	0	0.02909091	0x4a11	1	1	128	128	0	0x02	0x0c40	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3366065662	8	849	0	8	801	1	286	8192	62619.5	8192	66560	3	1	4	0	0x01db	0x0008	2	9	0x0000003e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.007937008	0.001506	0.01276499	0.008197001	0.00319754	0.007957008	0	0x04	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	1379	62450
B	86	0x0400000000004001	1722697873.164546000	1722697933.213035000	60.048489000	1	3	eth:ipv4:tcp	f8:0d:a9:a1:27:80;80:27:a1:a9:0d:f8	08:00:27:cc:73:ae	0x0800		184.28.177.5	es	"Akamai Technologies"	80	192.168.1.200	07	"Private network"	51385	6	0x00	2	f8:0d:a9:a1:27:80_08:00:27:cc:73:ae_7;80:27:a1:a9:0d:f8_08:00:27:cc:73:ae_2	-_PcsSystem,US;-_PcsSystem,US	80	http	9	9	801	849	0	268	89	139.6878	0	60.00867	6.672054	20.00123	0.1498789	13.33922	0	-0.02909091	0x0a11	0	48424	56	56	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2282699655	8	801	0	9	849	0	268	64240	265703	64128	8222720	1	1	2	0	0x031b	0x0080	2	12	0x0000001e	1452	128	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	2e-05	2e-05	60.00058	6.673082	20.15344	6.681279	20.15344	0x04	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	9	801
A	1	0x0400000000004000	1722697778.402900000	1722697778.402900000	0.000000000	1	3	eth:ipv4:udp	64:07:f6:53:e1:82	ff:ff:ff:ff:ff:ff	0x0800		192.168.1.197	07	"Private network"	33949	192.168.1.255	07	"Private network"	15600	17	0x00	1	64:07:f6:53:e1:82_ff:ff:ff:ff:ff:ff_1	SamsungEl,KR_Broadcast	15600	unknown	1	0	35	0	35	35	35	35	0	0	0	0	0	0	1	1	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	2	31	61	20.33333	1.967742	93	13417
A	5	0x0400000002004000	1722697780.088683000	1722697780.712652000	0.623969000	1	4	eth:ipv4:udp:ssdp	f8:0d:a9:a1:27:80	01:00:5e:7f:ff:fa	0x0800		192.168.1.1	07	"Private network"	60899	239.255.255.250	10	"Organization-Local Scope"	1900	17	0x00	1	f8:0d:a9:a1:27:80_01:00:5e:7f:ff:fa_6	-_IPv4Multi	1900	ssdp	6	0	2102	0	326	390	350.3333	136.7473	0	0.129404	0.1039948	0.06221312	9.615862	3368.757	1	1	0x0001	3	9	4	4	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	37	36	36	0.972973	145	52236
A	6	0x0400000002004000	1722697780.838594000	1722697780.970901000	0.132307000	1	4	eth:ipv4:udp:ssdp	f8:0d:a9:a1:27:80	01:00:5e:7f:ff:fa	0x0800		192.168.1.1	07	"Private network"	54622	239.255.255.250	10	"Organization-Local Scope"	1900	17	0x00	1	f8:0d:a9:a1:27:80_01:00:5e:7f:ff:fa_2	-_IPv4Multi	1900	ssdp	2	0	800	0	400	400	400	282.8427	0	0.132307	0.0661535	0.09355517	15.11636	6046.543	1	1	0x0001	4	4	4	4	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	36	35	35	0.9722222	145	52236
A	8	0x0400000000004000	1722697781.298397000	1722697781.298397000	0.000000000	1	3	eth:ipv4:udp	64:07:f6:53:e1:82	01:00:5e:7f:ff:fa	0x0800		192.168.1.197	07	"Private network"	38679	239.255.255.250	10	"Organization-Local Scope"	15600	17	0x00	1	64:07:f6:53:e1:82_01:00:5e:7f:ff:fa_1	SamsungEl,KR_IPv4Multi	15600	unknown	1	0	35	0	35	35	35	35	0	0	0	0	0	0	1	1	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	6	32	61	20.33333	1.90625	94	13452
