%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0400000002004000	1715099148.060732	1715099149.060662	0.99993	1	4	eth:ipv4:udp:ssdp	30:24:32:c2:60:37	01:00:5e:7f:ff:fa	0x0800		192.168.9.223	7	Private network	52173	239.255.255.250	10	Organization-Local Scope	1900	17	0x00	1	30:24:32:c2:60:37_01:00:5e:7f:ff:fa_2	IntelCorp,MY_IPv4Multi	1900	ssdp	2	0	340	0	170	170	170.0	120.2082	0	0.99993	0.499965	0.7070573	2.00014	340.0238	1.0	1.0	0x0001	3	3	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	7	7	1.4	1.0	85	4745
A	2	0x0400000002004000	1715099148.065157	1715099149.064415	0.999258	1	4	eth:ipv4:udp:ssdp	30:24:32:c2:60:37	01:00:5e:7f:ff:fa	0x0800		192.168.9.223	7	Private network	52176	239.255.255.250	10	Organization-Local Scope	1900	17	0x00	1	30:24:32:c2:60:37_01:00:5e:7f:ff:fa_2	IntelCorp,MY_IPv4Multi	1900	ssdp	2	0	350	0	175	175	175.0	123.7437	0	0.999258	0.499629	0.7065821	2.001485	350.2599	1.0	1.0	0x0001	3	3	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	6	6	1.2	1.0	85	4745
A	3	0x0400000002004000	1715099148.067199	1715099149.06671	0.999511	1	4	eth:ipv4:udp:ssdp	30:24:32:c2:60:37	01:00:5e:7f:ff:fa	0x0800		192.168.9.223	7	Private network	52179	239.255.255.250	10	Organization-Local Scope	1900	17	0x00	1	30:24:32:c2:60:37_01:00:5e:7f:ff:fa_2	IntelCorp,MY_IPv4Multi	1900	ssdp	2	0	350	0	175	175	175.0	123.7437	0	0.999511	0.4997555	0.706761	2.000978	350.1712	1.0	1.0	0x0001	3	3	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	5	5	1.0	1.0	85	4745
A	9	0x0400000000004000	1715099200.007547	1715099200.007547	0.0	1	3	eth:ipv4:udp	30:24:32:c2:60:37	01:00:5e:00:00:fb	0x0800		192.168.9.223	7	Private network	5353	224.0.0.251	10	mDNS	5353	17	0x00	1	30:24:32:c2:60:37_01:00:5e:00:00:fb_1	IntelCorp,MY_IPv4Multi	5353	mdns	1	0	45	0	45	45	45.0	45.0	0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	1	1	0.2	1.0	85	4745
A	10	0x0400000002004000	1715099200.350904	1715099200.350904	0.0	1	4	eth:ipv4:udp:ssdp	30:24:32:c2:60:37	01:00:5e:7f:ff:fa	0x0800		192.168.9.223	7	Private network	65503	239.255.255.250	10	Organization-Local Scope	1900	17	0x00	1	30:24:32:c2:60:37_01:00:5e:7f:ff:fa_1	IntelCorp,MY_IPv4Multi	1900	ssdp	1	0	125	0	125	125	125.0	125.0	0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	4	4	1.0	1.0	85	4745
A	7	0x0400000000004000	1715099169.882848	1715099259.9559	90.073052	1	3	eth:ipv4:udp	30:24:32:c2:60:37	ff:ff:ff:ff:ff:ff	0x0800		192.168.9.223	7	Private network	51555	255.255.255.255	11	Broadcast	27127	17	0x00	1	30:24:32:c2:60:37_ff:ff:ff:ff:ff:ff_4	IntelCorp,MY_Broadcast	27127	unknown	4	0	148	0	37	37	37.0	18.5	0	30.06383	22.51826	17.51093	0.0444084	1.643111	1.0	1.0	0x0001	1	1	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	1	1	0.25	1.0	85	4745
A	5	0x0400000000004000	1715099150.196098	1715099267.622283	117.426185	1	3	eth:ipv4:udp	30:24:32:c2:60:37	00:93:37:dd:c5:43	0x0800		192.168.9.223	7	Private network	57621	192.168.9.175	7	Private network	57621	17	0x00	1	30:24:32:c2:60:37_00:93:37:dd:c5:43_4	IntelCorp,MY_-	57621	unknown	4	5	176	220	44	44	44.0	22.0	0	46.13847	29.35655	23.48764	0.03406395	1.498814	-0.1111111	-0.1111111	0x0001	7	10	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	36.11726	2.563517	36.11726	23.84115	17.34188	36.11726	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	4	3	1.0	0.75	85	4745
B	5	0x0400000000004001	1715099153.225983	1715099275.912754	122.686771	1	3	eth:ipv4:udp	00:93:37:dd:c5:43	30:24:32:c2:60:37	0x0800		192.168.9.175	7	Private network	57621	192.168.9.223	7	Private network	57621	17	0x00	1	00:93:37:dd:c5:43_30:24:32:c2:60:37_5	-_IntelCorp,MY	57621	unknown	5	4	220	176	44	44	44.0	19.6774	0	50.54753	24.53735	23.296	0.04075419	1.793184	0.1111111	0.1111111	0x0001	1	11	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	1.845549	47.98402	20.14774	24.58878	43.98889	30.08901	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	3	2	2.0	0.6666667	38	595
A	11	0x0400000002004000	1715099266.05659	1715099269.059831	3.003241	1	4	eth:ipv4:udp:ssdp	30:24:32:c2:60:37	01:00:5e:7f:ff:fa	0x0800		192.168.9.223	7	Private network	51038	239.255.255.250	10	Organization-Local Scope	1900	17	0x00	1	30:24:32:c2:60:37_01:00:5e:7f:ff:fa_4	IntelCorp,MY_IPv4Multi	1900	ssdp	4	0	680	0	170	170	170.0	85.0	0	1.003187	0.7508102	0.5836955	1.331894	226.4221	1.0	1.0	0x0001	3	3	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	3	3	1.0	1.0	85	4745
A	12	0x0400000002004000	1715099266.063812	1715099269.06571	3.001898	1	4	eth:ipv4:udp:ssdp	30:24:32:c2:60:37	01:00:5e:7f:ff:fa	0x0800		192.168.9.223	7	Private network	51044	239.255.255.250	10	Organization-Local Scope	1900	17	0x00	1	30:24:32:c2:60:37_01:00:5e:7f:ff:fa_4	IntelCorp,MY_IPv4Multi	1900	ssdp	4	0	700	0	175	175	175.0	87.5	0	1.001176	0.7504745	0.5836714	1.33249	233.1858	1.0	1.0	0x0001	3	4	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667	1.0	85	4745
