%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	6	0x0400000000004000	1649261815.204330000	1649261822.325349000	7.121019000	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	24:41:8c:64:12:11	0x0800		192.168.0.142	07	"Private network"	57330	192.168.0.64	07	"Private network"	102	6	0x00	1	08:00:27:50:4c:14_24:41:8c:64:12:11_12	PcsSystem,US_IntelCorp,MY	102	iso-tsap	12	8	78	80	0	31	6.5	12.74278	0	3.021792	0.5934182	1.18556	1.685152	10.95349	0.2	-0.01265823	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3422143172	9	79	0	11	80	0	31	64240	64255.68	64240	64256	0	1	1	0	0x011b	0x0010	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	744265120	0	0.004	2977060.621403	1646284754.3878894511	0.000258992	0.000202016	0.015528	0.003026006	0.005848547	0.000273008	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	5	5	5	1	28	193
B	6	0x0400000000004001	1649261815.204589000	1649261822.325332000	7.120743000	1	3	eth:ipv4:tcp	24:41:8c:64:12:11	08:00:27:50:4c:14	0x0800		192.168.0.64	07	"Private network"	102	192.168.0.142	07	"Private network"	57330	6	0x00	1	24:41:8c:64:12:11_08:00:27:50:4c:14_8	IntelCorp,MY_PcsSystem,US	102	iso-tsap	8	12	80	78	0	31	10	15.48992	0	3.022003	0.8900929	1.409128	1.123478	11.23478	-0.2	0.01265823	0x0a11	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	682437049	8	80	0	8	78	0	31	65535	969967.5	65535	1051136	0	1	1	0	0x031b	0x0020	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	1.4016e-05	8.992e-06	3.021801	0.5914493	1.186583	0.5944753	1.186597	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4	1	23	4774
A	3	0x0400000000004000	1649261804.692554000	1649261807.725207000	3.032653000	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	24:41:8c:64:12:11	0x0800		192.168.0.142	07	"Private network"	57328	192.168.0.64	07	"Private network"	102	6	0x00	1	08:00:27:50:4c:14_24:41:8c:64:12:11_3	PcsSystem,US_IntelCorp,MY	102	iso-tsap	3	0	0	0	0	0	0	0	0	2.016208	1.010884	1.049949	0.9892328	0	1	0	0x0013	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1126889256	0	0	0	0	0	0	0	64240	64240	64240	64240	0	0	0	0	0x0002	0x0001	3	15	0x0000011e	1460	128	0x0000	0x00	0	0x00	744257641	0	0.001	744257.676350	1648517550.048856659	0	65535	0	0	0	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4	1	36	193
A	7	0x0000000000000044	1649261820.301558000	1649261820.301558000	0.000000000	1	2	eth:arp	08:00:27:50:4c:14	24:41:8c:64:12:11	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	08:00:27:50:4c:14_24:41:8c:64:12:11_1	PcsSystem,US_IntelCorp,MY	0	unknown	1	1	28	46	28	28	28	28	0	0	0	0	0	0	0	-0.2432432	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
B	7	0x0000000000000045	1649261820.301771000	1649261820.301771000	0.000000000	1	2	eth:arp	24:41:8c:64:12:11	08:00:27:50:4c:14	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	24:41:8c:64:12:11_08:00:27:50:4c:14_1	IntelCorp,MY_PcsSystem,US	0	unknown	1	1	46	28	46	46	46	46	0	0	0	0	0	0	0	0.2432432	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	5	0x0400000000004000	1649261815.200699000	1649261821.166192000	5.965493000	1	3	eth:ipv4:udp	24:41:8c:64:12:11	01:00:5e:7f:ff:fa	0x0800		192.168.0.64	07	"Private network"	58139	239.255.255.250	10	"Organization-Local Scope"	3702	17	0x00	1	24:41:8c:64:12:11_01:00:5e:7f:ff:fa_7	IntelCorp,MY_IPv4Multi	3702	ws-discovery	7	0	4592	0	656	656	656	247.9447	0	1.999815	0.8522133	0.8662793	1.173415	769.7603	1	1	0x0001	1	1	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	31	4774
A	4	0x0800000000008000	1649261815.200270000	1649261822.799149000	7.598879000	1	3	eth:ipv6:udp	24:41:8c:64:12:11	33:33:00:00:00:0c	0x86dd		fe80::903:4028:ec81:c06d	02	"Link-local"	58140	ff02::c	10	"SSDP"	3702	17	0x00	1	24:41:8c:64:12:11_33:33:00:00:00:0c_7	IntelCorp,MY_IPv6Multi	3702	ws-discovery	7	0	4592	0	656	656	656	247.9447	0	1.999835	1.085554	0.9048524	0.9211885	604.2997	1	1	0x0001	65535	0	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	7	4592
A	9	0x0000000000000044	1649261824.876887000	1649261824.876887000	0.000000000	1	2	eth:arp	02:10:18:38:61:2c	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	02:10:18:38:61:2c_ff:ff:ff:ff:ff:ff_1	-_Broadcast	0	unknown	1	0	46	0	46	46	46	46	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	2	0x0400000000004000	1649261804.511109000	1649261834.511933000	30.000824000	1	3	eth:ipv4:udp	00:f4:8d:d0:c6:49	ff:ff:ff:ff:ff:ff	0x0800		192.168.0.154	07	"Private network"	57621	192.168.0.255	07	"Private network"	57621	17	0x00	1	00:f4:8d:d0:c6:49_ff:ff:ff:ff:ff:ff_2	LiteonTec,TW_Broadcast	57621	unknown	2	0	88	0	44	44	44	31.1127	0	30.00082	15.00041	21.21379	0.06666484	2.933253	1	1	0x0001	1	1	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	2	88
A	8	0x0400000000004000	1649261822.333690000	1649261851.493278000	29.159588000	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	24:41:8c:64:12:11	0x0800		192.168.0.142	07	"Private network"	57332	192.168.0.64	07	"Private network"	102	6	0x00	1	08:00:27:50:4c:14_24:41:8c:64:12:11_20	PcsSystem,US_IntelCorp,MY	102	iso-tsap	20	16	115	102	0	37	5.75	12.81766	0	3.016188	1.457979	1.520948	0.6858807	3.943814	0.1111111	0.05990783	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3452598004	17	116	0	19	102	0	37	64240	64255.98	64240	64256	0	1	1	0	0x011b	0x0010	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	744272250	0	0.004	2977089.141404	1646284733.192285861	0.000275008	0.000188	1.978136	0.1254493	0.49517	0.000300032	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	3	3	1	36	193
