%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0400000000004000	1713983794.151795000	1713983794.151795000	0.000000000	1	3	eth:ipv4:udp	00:93:37:dd:c5:43	08:00:27:1c:fa:65	0x0800		192.168.1.134	07	"Private network"	65528	192.168.1.135	07	"Private network"	9600	17	0x00	1	00:93:37:dd:c5:43_08:00:27:1c:fa:65_1	-_PcsSystem,US	9600	micromuse-ncpw	1	0	18	0	18	18	18	18	0	0	0	0	0	0	1	1	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	6	6	6	1	6	108
A	2	0x0400000000004000	1713983809.199355000	1713983809.199355000	0.000000000	1	3	eth:ipv4:udp	00:93:37:dd:c5:43	08:00:27:1c:fa:65	0x0800		192.168.1.134	07	"Private network"	50617	192.168.1.135	07	"Private network"	9600	17	0x00	1	00:93:37:dd:c5:43_08:00:27:1c:fa:65_1	-_PcsSystem,US	9600	micromuse-ncpw	1	0	18	0	18	18	18	18	0	0	0	0	0	0	1	1	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	5	5	5	1	6	108
A	3	0x0400000000004000	1713983819.950283000	1713983819.950283000	0.000000000	1	3	eth:ipv4:udp	00:93:37:dd:c5:43	08:00:27:1c:fa:65	0x0800		192.168.1.134	07	"Private network"	56429	192.168.1.135	07	"Private network"	9600	17	0x00	1	00:93:37:dd:c5:43_08:00:27:1c:fa:65_1	-_PcsSystem,US	9600	micromuse-ncpw	1	0	18	0	18	18	18	18	0	0	0	0	0	0	1	1	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4	1	6	108
A	4	0x0400000000004000	1713983833.586061000	1713983833.586061000	0.000000000	1	3	eth:ipv4:udp	00:93:37:dd:c5:43	08:00:27:1c:fa:65	0x0800		192.168.1.134	07	"Private network"	56692	192.168.1.135	07	"Private network"	9600	17	0x00	1	00:93:37:dd:c5:43_08:00:27:1c:fa:65_1	-_PcsSystem,US	9600	micromuse-ncpw	1	0	18	0	18	18	18	18	0	0	0	0	0	0	1	1	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	3	3	1	6	108
A	5	0x0400000000004000	1713983874.310874000	1713983874.310874000	0.000000000	1	3	eth:ipv4:udp	00:93:37:dd:c5:43	08:00:27:1c:fa:65	0x0800		192.168.1.134	07	"Private network"	49178	192.168.1.135	07	"Private network"	9600	17	0x00	1	00:93:37:dd:c5:43_08:00:27:1c:fa:65_1	-_PcsSystem,US	9600	micromuse-ncpw	1	0	18	0	18	18	18	18	0	0	0	0	0	0	1	1	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	6	108
A	6	0x0400000000004000	1713983947.275627000	1713983947.275627000	0.000000000	1	3	eth:ipv4:udp	00:93:37:dd:c5:43	08:00:27:1c:fa:65	0x0800		192.168.1.134	07	"Private network"	63134	192.168.1.135	07	"Private network"	9600	17	0x00	1	00:93:37:dd:c5:43_08:00:27:1c:fa:65_1	-_PcsSystem,US	9600	micromuse-ncpw	1	0	18	0	18	18	18	18	0	0	0	0	0	0	1	1	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	6	108
A	7	0x0400000000004000	1713984215.460002000	1713984215.460002000	0.000000000	1	3	eth:ipv4:udp	00:93:37:dd:c5:43	08:00:27:1c:fa:65	0x0800		192.168.1.134	07	"Private network"	62888	192.168.1.135	07	"Private network"	9600	17	0x00	1	00:93:37:dd:c5:43_08:00:27:1c:fa:65_1	-_PcsSystem,US	9600	micromuse-ncpw	1	0	20	0	20	20	20	20	0	0	0	0	0	0	1	1	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	7	128
A	8	0x0400000000004000	1713984954.439029000	1713984954.439029000	0.000000000	1	3	eth:ipv4:udp	00:93:37:dd:c5:43	08:00:27:1c:fa:65	0x0800		192.168.1.134	07	"Private network"	61263	192.168.1.135	07	"Private network"	9600	17	0x00	1	00:93:37:dd:c5:43_08:00:27:1c:fa:65_1	-_PcsSystem,US	9600	micromuse-ncpw	1	0	20	0	20	20	20	20	0	0	0	0	0	0	1	1	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	9	166
A	9	0x0400000000004000	1713984986.431210000	1713984986.431210000	0.000000000	1	3	eth:ipv4:udp	00:93:37:dd:c5:43	08:00:27:1c:fa:65	0x0800		192.168.1.134	07	"Private network"	53176	192.168.1.135	07	"Private network"	9600	17	0x00	1	00:93:37:dd:c5:43_08:00:27:1c:fa:65_1	-_PcsSystem,US	9600	micromuse-ncpw	1	0	18	0	18	18	18	18	0	0	0	0	0	0	1	1	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	9	166
A	10	0x0400000000004000	1713985214.291621000	1713985214.291621000	0.000000000	1	3	eth:ipv4:udp	00:93:37:dd:c5:43	08:00:27:1c:fa:65	0x0800		192.168.1.134	07	"Private network"	59386	192.168.1.135	07	"Private network"	9600	17	0x00	1	00:93:37:dd:c5:43_08:00:27:1c:fa:65_1	-_PcsSystem,US	9600	micromuse-ncpw	1	0	22	0	22	22	22	22	0	0	0	0	0	0	1	1	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	10	188
