%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	2	0x0400000000004000	1719686161.370864	1719686161.370864	0.0	1	3	eth:ipv4:udp	30:24:32:c2:60:37	ff:ff:ff:ff:ff:ff	0x0800		192.168.113.223	7	Private network	138	192.168.113.255	7	Private network	138	17	0x00	1	30:24:32:c2:60:37_ff:ff:ff:ff:ff:ff_1	IntelCorp,MY_Broadcast	138	netbios-dgm	1	0	201	0	201	201	201.0	201.0	0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	1	0.2	0.5	970	11066
A	3	0x0400000002004000	1719686176.74751	1719686179.75147	3.00396	1	4	eth:ipv4:udp:ssdp	30:24:32:c2:60:37	01:00:5e:7f:ff:fa	0x0800		192.168.113.223	7	Private network	59925	239.255.255.250	10	Organization-Local Scope	1900	17	0x00	1	30:24:32:c2:60:37_01:00:5e:7f:ff:fa_4	IntelCorp,MY_IPv4Multi	1900	ssdp	4	0	700	0	175	175	175.0	87.5	0	1.002932	0.75099	0.5842711	1.331576	233.0257	1.0	1.0	0x0001	1	2	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	4	4	0.8	1.0	1110	12060
A	4	0x0400000002004000	1719686179.532906	1719686182.535849	3.002943	1	4	eth:ipv4:udp:ssdp	30:24:32:c2:60:37	01:00:5e:7f:ff:fa	0x0800		192.168.113.223	7	Private network	59927	239.255.255.250	10	Organization-Local Scope	1900	17	0x00	1	30:24:32:c2:60:37_01:00:5e:7f:ff:fa_4	IntelCorp,MY_IPv4Multi	1900	ssdp	4	0	700	0	175	175	175.0	87.5	0	1.00155	0.7507357	0.5839579	1.332027	233.1047	1.0	1.0	0x0001	1	2	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	3	3	0.6	1.0	1110	12060
A	5	0x0400000000004000	1719686284.256994	1719686285.757677	1.500683	1	3	eth:ipv4:udp	30:24:32:c2:60:37	ff:ff:ff:ff:ff:ff	0x0800		192.168.113.223	7	Private network	137	192.168.113.255	7	Private network	137	17	0x00	1	30:24:32:c2:60:37_ff:ff:ff:ff:ff:ff_3	IntelCorp,MY_Broadcast	137	netbios-ns	3	0	150	0	50	50	50.0	28.86751	0	0.751152	0.5002277	0.4842395	1.99909	99.95449	1.0	1.0	0x0001	1	1	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	1	1	0.2	1.0	1110	12060
A	7	0x0400000000004000	1719686291.737839	1719686291.737839	0.0	1	3	eth:ipv4:udp	30:24:32:c2:60:37	01:00:5e:00:00:fc	0x0800		192.168.113.223	7	Private network	61247	224.0.0.252	10	Link-local Multicast Name Reso	5355	17	0x00	1	30:24:32:c2:60:37_01:00:5e:00:00:fc_1	IntelCorp,MY_IPv4Multi	5355	llmnr	1	0	25	0	25	25	25.0	25.0	0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0x0001	65535	0	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	1	1	0.25	1.0	1110	12060
A	6	0x0400000000004000	1719686291.733544	1719686291.749037	0.015493	1	3	eth:ipv4:udp	30:24:32:c2:60:37	01:00:5e:00:00:fb	0x0800		192.168.113.223	7	Private network	5353	224.0.0.251	10	mDNS	5353	17	0x00	1	30:24:32:c2:60:37_01:00:5e:00:00:fb_4	IntelCorp,MY_IPv4Multi	5353	mdns	4	0	200	0	31	69	50.0	27.59881	0	0.009828	0.00387325	0.005190881	258.1811	12909.06	1.0	1.0	0x0001	1	1	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	1	1	0.3333333	1.0	1110	12060
A	8	0x0400000002004000	1719686296.741599	1719686299.744987	3.003388	1	4	eth:ipv4:udp:ssdp	30:24:32:c2:60:37	01:00:5e:7f:ff:fa	0x0800		192.168.113.223	7	Private network	52581	239.255.255.250	10	Organization-Local Scope	1900	17	0x00	1	30:24:32:c2:60:37_01:00:5e:7f:ff:fa_4	IntelCorp,MY_IPv4Multi	1900	ssdp	4	0	700	0	175	175	175.0	87.5	0	1.002728	0.750847	0.5840662	1.331829	233.0701	1.0	1.0	0x0001	1	2	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1.0	1.0	1110	12060
A	9	0x0400000002004000	1719686299.529263	1719686302.53198	3.002717	1	4	eth:ipv4:udp:ssdp	30:24:32:c2:60:37	01:00:5e:7f:ff:fa	0x0800		192.168.113.223	7	Private network	50682	239.255.255.250	10	Organization-Local Scope	1900	17	0x00	1	30:24:32:c2:60:37_01:00:5e:7f:ff:fa_4	IntelCorp,MY_IPv4Multi	1900	ssdp	4	0	700	0	175	175	175.0	87.5	0	1.003204	0.7506793	0.5841581	1.332127	233.1222	1.0	1.0	0x0001	1	2	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5	1.0	1110	12060
A	1	0x0400000000004000	1719686159.609975	1719686360.078278	200.468303	1	3	eth:ipv4:tcp	30:24:32:c2:60:37	00:93:37:dd:c5:43	0x0800		192.168.113.223	7	Private network	59664	192.168.113.175	7	Private network	20000	6	0x00	1	30:24:32:c2:60:37_00:93:37:dd:c5:43_1085	IntelCorp,MY_-	20000	dnp	1085	961	8684	202017	0	78	8.003687	12.87311	0	0.96443	0.1847634	0.2693016	5.412327	43.31857	0.06060606	-0.9175704	0x0a11	1	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4189219856	1084	8660	0	1084	202017	0	78	64240	64769.7	64000	65536	492	127	493	0	0x001a	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.000158016	4.896e-05	0.183537	0.02829638	0.04312231	0.10751	0.0	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2.0	1.0	1110	12060
B	1	0x0400000000004001	1719686159.610133	1719686359.086247	199.476114	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	30:24:32:c2:60:37	0x0800		192.168.113.175	7	Private network	20000	192.168.113.223	7	Private network	59664	6	0x00	1	00:93:37:dd:c5:43_30:24:32:c2:60:37_961	-_IntelCorp,MY	20000	dnp	961	1085	202017	8684	0	939	210.2154	190.7358	0	1.027534	0.2075711	0.3262072	4.817619	1012.738	-0.06060606	0.9175704	0x0a11	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1737192351	961	202000	0	961	8660	0	939	65535	524293.1	65535	525568	35	6	36	0	0x021a	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.107352	0.009414016	1.010676	0.1897097	0.306291	0.2180061	0.3093117	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1.0	1.0	961	202017
