%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0400000000004000	1654448655.803861	1654448655.803861	0.0	1	3	eth:ipv4:tcp	08:00:27:27:0f:cb	08:00:27:b0:47:08	0x0800		192.168.100.2	7	Private network	37106	192.168.100.3	7	Private network	80	6	0x00	1	08:00:27:27:0f:cb_08:00:27:b0:47:08_1	PcsSystem,US_PcsSystem,US	80	http	1	1	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0x0013	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2215887463	0	0	0	0	0	0	0	64240	64240.0	64240	64240	0	0	0	0	0x0002	0x3000	1	5	0x0000011e	1460	0	0x0000	0x00	0	0x00	2039249052	0	0.004	8156996.595437	1646291659.2084243	0.000406016	0.000406016	0.000406016	0.000406016	0.0	0.000406016	0.0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	10	2	2	0.2	17	19
B	1	0x0400000000004001	1654448655.804267	1654448655.804267	0.0	1	3	eth:ipv4:tcp	08:00:27:b0:47:08	08:00:27:27:0f:cb	0x0800		192.168.100.3	7	Private network	80	192.168.100.2	7	Private network	37106	6	0x00	1	08:00:27:b0:47:08_08:00:27:27:0f:cb_1	PcsSystem,US_PcsSystem,US	80	http	1	1	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0x0011	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	1	0	0	1	0	0	0	0	0.0	0	0	0	0	0	0	0x0414	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.000406016	0.0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	9	1	1	0.1111111	11	18
A	2	0x0400000000004000	1654448655.803901	1654448655.803901	0.0	1	3	eth:ipv4:tcp	08:00:27:27:0f:cb	08:00:27:b0:47:08	0x0800		192.168.100.2	7	Private network	59790	192.168.100.3	7	Private network	443	6	0x00	1	08:00:27:27:0f:cb_08:00:27:b0:47:08_1	PcsSystem,US_PcsSystem,US	443	https	1	1	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0x0013	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3534298615	0	0	0	0	0	0	0	64240	64240.0	64240	64240	0	0	0	0	0x0002	0x3000	1	5	0x0000011e	1460	0	0x0000	0x00	0	0x00	2039249052	0	0.004	8156996.595437	1646291659.2084644	0.000366016	0.000366016	0.000366016	0.000366016	0.0	0.000366016	0.0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	8	2	2	0.25	17	19
B	2	0x0400000000004001	1654448655.804267	1654448655.804267	0.0	1	3	eth:ipv4:tcp	08:00:27:b0:47:08	08:00:27:27:0f:cb	0x0800		192.168.100.3	7	Private network	443	192.168.100.2	7	Private network	59790	6	0x00	1	08:00:27:b0:47:08_08:00:27:27:0f:cb_1	PcsSystem,US_PcsSystem,US	443	https	1	1	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0x0011	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	1	0	0	1	0	0	0	0	0.0	0	0	0	0	0	0	0x0414	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.000366016	0.0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	7	1	1	0.1428571	11	18
A	3	0x0400000000004000	1654448655.814022	1654448655.814486	0.000464	1	3	eth:ipv4:tcp	08:00:27:27:0f:cb	08:00:27:b0:47:08	0x0800		192.168.100.2	7	Private network	49808	192.168.100.3	7	Private network	502	6	0x00	1	08:00:27:27:0f:cb_08:00:27:b0:47:08_3	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	3	1	0	0	0	0	0.0	0.0	0	0.000397	0.0001546667	0.0002414548	6465.517	0.0	0.5	0.0	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1380707385	2	0	0	2	0	0	0	64240	64248.16	64240	64256	0	1	1	0	0x0416	0x3000	3	11	0x0000011e	1460	128	0x0000	0x00	0	0x00	2039249062	2244894826	0.004	8156996.635437	1646291659.1790495	0.000380992	0.000380992	0.000380992	0.000380992	0.0	0.000396992	0.0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	6	6	6	1.0	17	19
B	3	0x0400000000004001	1654448655.814403	1654448655.814403	0.0	1	3	eth:ipv4:tcp	08:00:27:b0:47:08	08:00:27:27:0f:cb	0x0800		192.168.100.3	7	Private network	502	192.168.100.2	7	Private network	49808	6	0x00	1	08:00:27:b0:47:08_08:00:27:27:0f:cb_1	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	1	3	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	-0.5	0.0	0x0213	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	431453481	1	0	0	1	0	0	0	65160	65160.0	65160	65160	0	0	0	0	0x0212	0x2000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	2244894826	2039249062	0.004	8979579.730507	1645469076.0838957	1.6e-05	1.6e-05	8.3008e-05	3.8336e-05	3.868709e-05	0.000419328	3.868709e-05	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	5	5	5	1.0	11	18
A	4	0x0400000000004000	1654448655.814711	1654448655.818121	0.00341	1	3	eth:ipv4:tcp	08:00:27:27:0f:cb	08:00:27:b0:47:08	0x0800		192.168.100.2	7	Private network	49810	192.168.100.3	7	Private network	502	6	0x00	1	08:00:27:27:0f:cb_08:00:27:b0:47:08_6	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	6	4	8	9	0	8	1.333333	3.597942	0	0.002565	0.0005683334	0.001040368	1759.531	2346.041	0.2	-0.05882353	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	325009031	5	8	0	5	9	0	8	64240	64253.31	64240	64256	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	128	0x0000	0x00	0	0x00	2039249066	2244894830	0.001	2039249.162859	1652409406.6552618	0.000308032	0.000308032	0.00255904	0.000885024	0.001176434	0.000323008	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4	1.0	17	19
B	4	0x0400000000004001	1654448655.815019	1654448655.818112	0.003093	1	3	eth:ipv4:tcp	08:00:27:b0:47:08	08:00:27:27:0f:cb	0x0800		192.168.100.3	7	Private network	502	192.168.100.2	7	Private network	49810	6	0x00	1	08:00:27:b0:47:08_08:00:27:27:0f:cb_4	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	4	6	9	8	0	9	2.25	4.743416	0	0.002207	0.00077325	0.001041312	1293.243	2909.796	-0.2	0.05882353	0x0213	1	60038	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2122124417	4	9	0	4	8	0	9	65160	65154.75	65152	65160	1	0	0	0	0x031b	0x0000	4	14	0x0000011e	1460	128	0x0000	0x00	0	0x00	2244894830	2039249066	0.001	2244894.936627	1652203760.417745	1.4976e-05	6.016e-06	0.00012096	4.298667e-05	5.421578e-05	0.0009280106	0.001177682	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	3	3	1.0	11	18
A	5	0x0400000000004000	1654448655.817858	1654448655.824336	0.006478	1	3	eth:ipv4:tcp	08:00:27:27:0f:cb	08:00:27:b0:47:08	0x0800		192.168.100.2	7	Private network	49812	192.168.100.3	7	Private network	502	6	0x00	1	08:00:27:27:0f:cb_08:00:27:b0:47:08_6	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	6	4	11	9	0	11	1.833333	4.94717	0	0.00577	0.001079667	0.002417418	926.2118	1698.055	0.2	0.1	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2717908247	5	11	0	5	9	0	11	64240	64253.31	64240	64256	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	128	0x0000	0x00	0	0x00	2039249072	2244894836	0.001	2039249.168859	1652409406.6554768	0.000148992	0.000148992	0.00576	0.001628512	0.002906305	0.000164992	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1.0	17	19
B	5	0x0400000000004001	1654448655.818007	1654448655.824326	0.006319	1	3	eth:ipv4:tcp	08:00:27:b0:47:08	08:00:27:27:0f:cb	0x0800		192.168.100.3	7	Private network	502	192.168.100.2	7	Private network	49812	6	0x00	1	08:00:27:b0:47:08_08:00:27:27:0f:cb_4	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	4	6	9	11	0	9	2.25	4.743416	0	0.005474	0.00157975	0.002750444	633.0115	1424.276	-0.2	-0.1	0x0213	1	42979	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3749990090	4	9	0	4	11	0	9	65160	65154.75	65152	65160	1	0	0	0	0x031b	0x0000	4	14	0x0000011e	1460	128	0x0000	0x00	0	0x00	2244894836	2039249072	0.001	2244894.942627	1652203760.4177666	1.6e-05	9.984e-06	0.000124992	4.8672e-05	5.942458e-05	0.001677184	0.002906912	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1.0	11	18
