%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	5	0x0400000000004000	1649257405.377792	1649257405.517823	0.140031	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	24:41:8c:64:12:11	0x0800		192.168.0.142	07	Private network	57002	192.168.0.64	07	Private network	102	6	0x00	1	08:00:27:50:4c:14_24:41:8c:64:12:11_3	PcsSystem,US_IntelCorp,MY	102	iso-tsap	3	1	0	0	0	0	0.0	0.0	0	0.139991	0.04667701	0.09035348	21.42383	0.0	0.5	0.0	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	57906167	2	0	0	2	0	0	0	64240	64248.16	64240	64256	0	1	1	0	0x0416	0x3000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	739855294	0	0.004	2959421.316565	1646297984.061227	0.139919	0.139919	0.139919	0.139919	0.0	0.139991	0.0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	4	4	2	1	14	189
B	5	0x0400000000004001	1649257405.517711	1649257405.517711	0.0	1	3	eth:ipv4:tcp	24:41:8c:64:12:11	08:00:27:50:4c:14	0x0800		192.168.0.64	07	Private network	102	192.168.0.142	07	Private network	57002	6	0x00	1	24:41:8c:64:12:11_08:00:27:50:4c:14_1	IntelCorp,MY_PcsSystem,US	102	iso-tsap	1	3	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	-0.5	0.0	0x0211	65535	0	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2927352395	1	0	0	1	0	0	0	65535	65535.0	65535	65535	0	0	0	0	0x0212	0x2000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	7.2e-05	7.2e-05	0.000112	8.533333e-05	2.309401e-05	0.1400044	2.309401e-05	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	3	3	3	1	7	332
A	2	0x0000000000000044	1649257405.296119	1649257405.296119	0.0	1	2	eth:arp	08:00:27:50:4c:14	ff:ff:ff:ff:ff:ff	0x0806		-	-	-	0	-	-	-	0	0	0x00	1	08:00:27:50:4c:14_ff:ff:ff:ff:ff:ff_1	PcsSystem,US_Broadcast	0	unknown	1	0	28	0	28	28	28.0	28.0	0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	3	0x0000000000000044	1649257405.30835	1649257405.30835	0.0	1	2	eth:arp	02:10:18:38:61:2c	08:00:27:50:4c:14	0x0806		-	-	-	0	-	-	-	0	0	0x00	1	02:10:18:38:61:2c_08:00:27:50:4c:14_1	-_PcsSystem,US	0	unknown	1	1	46	28	46	46	46.0	46.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.2432432	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
B	3	0x0000000000000045	1649257410.334381	1649257410.334381	0.0	1	2	eth:arp	08:00:27:50:4c:14	02:10:18:38:61:2c	0x0806		-	-	-	0	-	-	-	0	0	0x00	1	08:00:27:50:4c:14_02:10:18:38:61:2c_1	PcsSystem,US_-	0	unknown	1	1	28	46	28	28	28.0	28.0	0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2432432	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	4	0x0400000000004000	1649257405.308356	1649257405.308356	0.0	1	3	eth:ipv4:udp	08:00:27:50:4c:14	02:10:18:38:61:2c	0x0800		192.168.0.142	07	Private network	40145	192.168.0.1	07	Private network	53	17	0x00	1	08:00:27:50:4c:14_02:10:18:38:61:2c_1	PcsSystem,US_-	53	domain	1	1	43	88	43	43	43.0	43.0	0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3435115	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.03907401	0.03907401	0.03907401	0.03907401	0.0	0.03907401	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1	1	17	189
B	4	0x0400000000004001	1649257405.34743	1649257405.34743	0.0	1	3	eth:ipv4:udp	02:10:18:38:61:2c	08:00:27:50:4c:14	0x0800		192.168.0.1	07	Private network	53	192.168.0.142	07	Private network	40145	17	0x00	1	02:10:18:38:61:2c_08:00:27:50:4c:14_1	-_PcsSystem,US	53	domain	1	1	88	43	88	88	88.0	88.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.3435115	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.03907401	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	1	88
A	8	0x0400000000004000	1649257425.861079	1649257425.861079	0.0	1	3	eth:ipv4:udp	00:f4:8d:d0:c6:49	ff:ff:ff:ff:ff:ff	0x0800		192.168.0.154	07	Private network	57621	192.168.0.255	07	Private network	57621	17	0x00	1	00:f4:8d:d0:c6:49_ff:ff:ff:ff:ff:ff_1	LiteonTec,TW_Broadcast	57621	unknown	1	0	44	0	44	44	44.0	44.0	0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	1	44
A	7	0x0000000000000044	1649257410.334371	1649257432.829761	22.49539	1	2	eth:arp	02:10:18:38:61:2c	ff:ff:ff:ff:ff:ff	0x0806		-	-	-	0	-	-	-	0	0	0x00	1	02:10:18:38:61:2c_ff:ff:ff:ff:ff:ff_2	-_Broadcast	0	unknown	2	0	92	0	46	46	46.0	32.52691	0	22.49539	11.24769	15.90664	0.08890711	4.089727	1.0	1.0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	6	0x0400000000004000	1649257405.518398	1649257435.591719	30.073321	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	24:41:8c:64:12:11	0x0800		192.168.0.142	07	Private network	57004	192.168.0.64	07	Private network	102	6	0x00	1	08:00:27:50:4c:14_24:41:8c:64:12:11_13	PcsSystem,US_IntelCorp,MY	102	iso-tsap	13	8	146	332	0	33	11.23077	15.82279	0	29.95569	2.313332	8.334299	0.4322768	4.854802	0.2380952	-0.3891214	0x0a13	12001	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1035842365	12	146	0	12	332	0	33	64240	64255.78	64240	64256	0	1	1	0	0x011b	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	739855435	0	0.004	2959421.880565	1646297983.39338	0.000205984	0.000198016	0.03837498	0.008873736	0.01432045	0.000225984	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	17	189
