%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	3	0x0400000000004000	1718295410.59022	1718295493.854843	83.264623	1	3	eth:ipv4:tcp	30:24:32:c2:60:37	00:93:37:dd:c5:43	0x0800		192.168.1.129	7	Private network	60337	192.168.1.130	7	Private network	2404	6	0x00	1	30:24:32:c2:60:37_00:93:37:dd:c5:43_34	IntelCorp,MY_-	2404	iec-104	34	32	159	461	0	22	4.676471	6.671763	0	10.00723	2.448959	4.123657	0.4083367	1.909574	0.03030303	-0.4870968	0x4a11	1	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	804643703	30	159	0	33	457	4	22	64240	262147.5	64240	262656	2	1	3	0	0x011b	0x0018	5	18	0x0000003e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.000589952	4.4032e-05	10.00156	1.876929	3.981103	0.003936	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	10	10	3.333333	1.0	81	983
B	3	0x0400000000004001	1718295410.59081	1718295493.855023	83.264213	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	30:24:32:c2:60:37	0x0800		192.168.1.130	7	Private network	2404	192.168.1.129	7	Private network	60337	6	0x00	1	00:93:37:dd:c5:43_30:24:32:c2:60:37_32	-_IntelCorp,MY	2404	iec-104	32	34	461	159	0	150	14.40625	32.56885	0	10.00158	2.602007	4.203168	0.3843188	5.536592	-0.03030303	0.4870968	0x4a11	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3704485580	28	461	0	32	156	3	150	65535	2097636.0	65535	2097920	1	1	2	0	0x031b	0x0018	4	15	0x0000003e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.003346048	0.001806976	10.00118	0.6891822	2.103369	2.566111	4.502593	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	9	9	9.0	1.0	66	1161
A	5	0x0400000000004000	1718295493.868482	1718295495.902399	2.033917	1	3	eth:ipv4:tcp	30:24:32:c2:60:37	00:93:37:dd:c5:43	0x0800		192.168.1.129	7	Private network	60372	192.168.1.130	7	Private network	2404	6	0x00	1	30:24:32:c2:60:37_00:93:37:dd:c5:43_11	IntelCorp,MY_-	2404	iec-104	11	9	88	175	0	54	8.0	17.00813	0	1.812786	0.1849016	0.5465187	5.408284	43.26627	0.1	-0.3307985	0x0a11	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3641142794	10	88	0	10	175	0	54	64240	256856.7	64240	262656	1	1	2	0	0x011b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.000395008	8.3e-05	0.041111	0.01428922	0.02086677	0.002918016	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	8	8	2.666667	1.0	81	983
B	5	0x0400000000004001	1718295493.868877	1718295495.902677	2.0338	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	30:24:32:c2:60:37	0x0800		192.168.1.130	7	Private network	2404	192.168.1.129	7	Private network	60372	6	0x00	1	00:93:37:dd:c5:43_30:24:32:c2:60:37_9	-_IntelCorp,MY	2404	iec-104	9	11	175	88	0	82	19.44444	32.9693	0	1.777816	0.2259778	0.586989	4.425214	86.04583	-0.1	0.3307985	0x0a11	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2788051917	9	175	0	9	88	0	82	65535	1980757.0	65535	2097920	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.002523008	0.002372032	1.771675	0.1739713	0.5360245	0.1882605	0.5364305	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	7	7	7.0	1.0	66	1161
A	6	0x0400000000004000	1718295495.918141	1718295497.441923	1.523782	1	3	eth:ipv4:tcp	30:24:32:c2:60:37	00:93:37:dd:c5:43	0x0800		192.168.1.129	7	Private network	60374	192.168.1.130	7	Private network	2404	6	0x00	1	30:24:32:c2:60:37_00:93:37:dd:c5:43_11	IntelCorp,MY_-	2404	iec-104	11	9	88	175	0	54	8.0	17.00813	0	1.325408	0.1385256	0.3986696	7.21888	57.75104	0.1	-0.3307985	0x0a11	1	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	310352025	10	88	0	10	175	0	54	64240	256838.3	64240	262656	1	1	2	0	0x011b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.000644032	7.3e-05	0.041247	0.01396956	0.0185736	0.003656	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	6	6	2.0	1.0	81	983
B	6	0x0400000000004001	1718295495.918785	1718295497.442071	1.523286	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	30:24:32:c2:60:37	0x0800		192.168.1.130	7	Private network	2404	192.168.1.129	7	Private network	60374	6	0x00	1	00:93:37:dd:c5:43_30:24:32:c2:60:37_9	-_IntelCorp,MY	2404	iec-104	9	11	175	88	0	131	19.44444	44.75222	0	1.29702	0.169254	0.426758	5.90828	114.8832	-0.1	0.3307985	0x0a11	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3124407928	9	175	0	9	88	0	131	65535	1980757.0	65535	2097920	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.003011968	0.002209024	1.284161	0.1278579	0.3880831	0.1418275	0.3885273	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	5	5	5.0	1.0	66	1161
A	7	0x0400000000004000	1718295497.45783	1718295498.468495	1.010665	1	3	eth:ipv4:tcp	30:24:32:c2:60:37	00:93:37:dd:c5:43	0x0800		192.168.1.129	7	Private network	60376	192.168.1.130	7	Private network	2404	6	0x00	1	30:24:32:c2:60:37_00:93:37:dd:c5:43_11	IntelCorp,MY_-	2404	iec-104	11	9	88	175	0	54	8.0	17.00813	0	0.787977	0.09187864	0.234924	10.88392	87.07138	0.1	-0.3307985	0x0a11	1	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2082096970	10	88	0	10	175	0	54	64240	256856.7	64240	262656	1	1	2	0	0x011b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.000472	7.0016e-05	0.04192	0.01543311	0.02102195	0.002867968	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	4	4	1.333333	1.0	81	983
B	7	0x0400000000004001	1718295497.458302	1718295498.468686	1.010384	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	30:24:32:c2:60:37	0x0800		192.168.1.130	7	Private network	2404	192.168.1.129	7	Private network	60376	6	0x00	1	00:93:37:dd:c5:43_30:24:32:c2:60:37_9	-_IntelCorp,MY	2404	iec-104	9	11	175	88	0	81	19.44444	33.04685	0	0.758437	0.1122649	0.2453829	8.907505	173.2015	-0.1	0.3307985	0x0a11	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3646717082	9	175	0	9	88	0	81	65535	1980757.0	65535	2097920	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.002395968	0.001956992	0.746057	0.08004872	0.223914	0.09548184	0.2248987	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	3	3	3.0	1.0	66	1161
A	8	0x0400000000004000	1718295498.485146	1718295517.832264	19.347118	1	3	eth:ipv4:tcp	30:24:32:c2:60:37	00:93:37:dd:c5:43	0x0800		192.168.1.129	7	Private network	60378	192.168.1.130	7	Private network	2404	6	0x00	1	30:24:32:c2:60:37_00:93:37:dd:c5:43_13	IntelCorp,MY_-	2404	iec-104	13	12	84	187	0	54	6.461538	15.57994	0	9.919636	1.48824	3.614601	0.6719347	4.341732	0.04	-0.3800738	0x0a11	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4211797889	12	84	0	12	188	0	54	64240	259683.8	64240	262656	1	1	2	0	0x011b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.000341024	7.8976e-05	9.877039	0.838719	2.911431	0.002758016	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	4	4	1.333333	1.0	98	1773
B	8	0x0400000000004001	1718295498.485487	1718295517.832343	19.346856	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	30:24:32:c2:60:37	0x0800		192.168.1.130	7	Private network	2404	192.168.1.129	7	Private network	60378	6	0x00	1	00:93:37:dd:c5:43_30:24:32:c2:60:37_12	-_IntelCorp,MY	2404	iec-104	12	13	187	84	0	81	15.58333	29.49016	0	9.836031	1.612238	3.72977	0.6202558	9.665653	-0.04	0.3800738	0x0a11	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3425364735	12	187	0	12	84	0	81	65535	2057733.0	65535	2097920	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0	0.0	0.0	0.002416992	0.00196896	9.062097	0.7218084	2.525181	1.560527	3.853955	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	3	3	3.0	1.0	78	1354
