%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0400000000004000	1712341861.789396000	1712341861.802587000	0.013191000	1	3	eth:ipv4:tcp	30:24:32:c2:60:37	08:00:27:fc:14:7d	0x0800		192.168.1.135	07	"Private network"	34698	192.168.1.144	07	"Private network"	4840	6	0x00	1	30:24:32:c2:60:37_08:00:27:fc:14:7d_6	IntelCorp,MY_PcsSystem,US	4840	opcua-tcp	6	4	60	28	0	60	10	26.98456	0	0.005903	0.0021985	0.00262995	454.8556	4548.556	0.2	0.3636364	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2694644235	5	60	0	5	28	0	60	32120	32126.65	32120	32128	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	128	0x0000	0x00	0	0x00	1805266619	3065450132	0.001	1805266.704746	1710536595.097841437	0.000105024	0.000105024	0.003553024	0.001292256	0.001708119	0.003354048	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	6	60
B	1	0x0400000000004001	1712341861.789501000	1712341861.800631000	0.011130000	1	3	eth:ipv4:tcp	08:00:27:fc:14:7d	30:24:32:c2:60:37	0x0800		192.168.1.144	07	"Private network"	4840	192.168.1.135	07	"Private network"	34698	6	0x00	1	08:00:27:fc:14:7d_30:24:32:c2:60:37_4	PcsSystem,US_IntelCorp,MY	4840	opcua-tcp	4	6	28	60	0	28	7	14.7573	0	0.004327	0.0027825	0.002164371	359.389	2515.723	-0.2	-0.3636364	0x0a13	1	57452	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2851875645	4	28	0	4	60	0	28	31856	31866.51	31856	31872	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1460	128	0x0000	0x00	0	0x00	3065450132	1805266615	0.001	3065450.277601	1709276411.523029932	0.003249024	0.001956032	0.003249984	0.002840181	0.0005680192	0.004132438	0.001800088	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	4	28
A	2	0x0400000000004000	1712342659.919444000	1712342659.934410000	0.014966000	1	3	eth:ipv4:tcp	30:24:32:c2:60:37	08:00:27:fc:14:7d	0x0800		192.168.1.135	07	"Private network"	45748	192.168.1.144	07	"Private network"	4840	6	0x00	1	30:24:32:c2:60:37_08:00:27:fc:14:7d_6	IntelCorp,MY_PcsSystem,US	4840	opcua-tcp	6	4	60	28	0	60	10	26.98456	0	0.004721	0.002494333	0.002069476	400.9087	4009.087	0.2	0.3636364	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3350198224	5	60	0	5	28	0	60	32120	32126.65	32120	32128	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	128	0x0000	0x00	0	0x00	1806064620	3066248262	0.001	1806064.705783	1710536595.228626534	6.9056e-05	2.5984e-05	0.002505984	0.0008809919	0.001229739	0.002753024	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4	1	2064	203905
B	2	0x0400000000004001	1712342659.919513000	1712342659.930612000	0.011099000	1	3	eth:ipv4:tcp	08:00:27:fc:14:7d	30:24:32:c2:60:37	0x0800		192.168.1.144	07	"Private network"	4840	192.168.1.135	07	"Private network"	45748	6	0x00	1	08:00:27:fc:14:7d_30:24:32:c2:60:37_4	PcsSystem,US_IntelCorp,MY	4840	opcua-tcp	4	6	28	60	0	28	7	14.7573	0	0.004583	0.00277475	0.002442715	360.3928	2522.75	-0.2	-0.3636364	0x0a13	1	711	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3239848081	4	28	0	4	60	0	28	31856	31866.51	31856	31872	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1460	128	0x0000	0x00	0	0x00	3066248262	1806064616	0.001	3066248.407639	1709276411.522973023	0.002683968	0.002064	0.004556992	0.003149995	0.0009725083	0.004030987	0.001567811	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	3	3	1	2056	214293
A	3	0x0400000000004000	1712342659.929689000	1712342707.193308000	47.263619000	1	3	eth:ipv4:tcp	30:24:32:c2:60:37	08:00:27:fc:14:7d	0x0800		192.168.1.135	07	"Private network"	45762	192.168.1.144	07	"Private network"	4840	6	0x00	1	30:24:32:c2:60:37_08:00:27:fc:14:7d_9429	IntelCorp,MY_PcsSystem,US	4840	opcua-tcp	9429	9405	935531	968945	0	273	99.21848	6.870675	0	0.03378	0.005012579	0.002137446	199.4981	19793.89	0.001274291	-0.01754498	0x0a13	1	1	64	64	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3065508284	9428	935531	0	9428	968945	0	273	32120	69759.99	31872	69760	6	19	7	0	0x011b	0x0000	9429	28289	0x0000011e	1460	128	0x0000	0x00	0	0x00	1806111873	3066295522	0.001	1806111.958786	1710536595.3530489586	3.0976e-05	1.9008e-05	0.01969094	0.001182023	0.00113782	0.002571968	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	9441	935651
B	3	0x0400000000004001	1712342659.929720000	1712342707.191182000	47.261462000	1	3	eth:ipv4:tcp	08:00:27:fc:14:7d	30:24:32:c2:60:37	0x0800		192.168.1.144	07	"Private network"	4840	192.168.1.135	07	"Private network"	45762	6	0x00	1	08:00:27:fc:14:7d_30:24:32:c2:60:37_9405	PcsSystem,US_IntelCorp,MY	4840	opcua-tcp	9405	9429	968945	935531	0	12308	103.0245	254.6455	0	0.035026	0.005025134	0.002230678	198.9993	20501.8	-0.001274291	0.01754498	0x0a13	1	28481	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2426643741	9405	968945	0	9405	935532	0	14480	31856	31872	31856	31872	0	1	1	0	0x031b	0x0000	9405	28217	0x0000011e	1460	128	0x0000	0x00	0	0x00	3066295522	1806111868	0.001	3066295.667641	1709276411.3819508074	0.002540992	0.001850976	0.03258701	0.003843204	0.001672167	0.005025227	0.002022567	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	9413	969001
A	4	0x0400000000004000	1712342984.634491000	1712342984.646335000	0.011844000	1	3	eth:ipv4:tcp	30:24:32:c2:60:37	08:00:27:fc:14:7d	0x0800		192.168.1.135	07	"Private network"	58474	192.168.1.144	07	"Private network"	4840	6	0x00	1	30:24:32:c2:60:37_08:00:27:fc:14:7d_6	IntelCorp,MY_PcsSystem,US	4840	opcua-tcp	6	4	60	28	0	60	10	26.98456	0	0.004832	0.001974	0.002344963	506.5856	5065.856	0.2	0.3636364	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2162958450	5	60	0	5	28	0	60	32120	32126.65	32120	32128	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	128	0x0000	0x00	0	0x00	1806389210	3066572975	0.001	1806389.295799	1710536595.350536117	6.4e-05	6.4e-05	0.002958976	0.001037008	0.001422204	0.002734976	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4	1	11491	1136902
B	4	0x0400000000004001	1712342984.634555000	1712342984.643313000	0.008758000	1	3	eth:ipv4:tcp	08:00:27:fc:14:7d	30:24:32:c2:60:37	0x0800		192.168.1.144	07	"Private network"	4840	192.168.1.135	07	"Private network"	58474	6	0x00	1	08:00:27:fc:14:7d_30:24:32:c2:60:37_4	PcsSystem,US_IntelCorp,MY	4840	opcua-tcp	4	6	28	60	0	28	7	14.7573	0	0.003127	0.0021895	0.001696854	456.7253	3197.077	-0.2	-0.3636364	0x0a13	1	63016	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1608688434	4	28	0	4	60	0	28	31856	31866.51	31856	31872	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1460	128	0x0000	0x00	0	0x00	3066572975	1806389207	0.001	3066573.120654	1709276411.522658600	0.002670976	0.001873024	0.003021952	0.002514155	0.0004274056	0.003551163	0.001485039	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	3	3	1	11457	1175298
A	5	0x0400000000004000	1712342984.643442000	1712343046.818505000	62.175063000	1	3	eth:ipv4:tcp	30:24:32:c2:60:37	08:00:27:fc:14:7d	0x0800		192.168.1.135	07	"Private network"	58476	192.168.1.144	07	"Private network"	4840	6	0x00	1	30:24:32:c2:60:37_08:00:27:fc:14:7d_12560	IntelCorp,MY_PcsSystem,US	4840	opcua-tcp	12560	12534	1235717	1242304	0	273	98.38511	6.360569	0	0.028081	0.004950235	0.002296047	202.0102	19874.8	0.001036104	-0.002658169	0x4a13	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1944310414	12559	1235717	0	12559	1240856	3	273	32120	70271.99	31872	70272	5	18	6	0	0x011b	0x0008	12560	37691	0x0000013e	1460	128	0x0000	0x00	0	0x00	1806451375	3066635148	0.001	1806451.460802	1710536595.357703164	1.6e-05	1.6e-05	0.024273	0.001153786	0.00119826	0.002892992	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	22007	2171428
B	5	0x0400000000004001	1712342984.643458000	1712343046.816636000	62.173178000	1	3	eth:ipv4:tcp	08:00:27:fc:14:7d	30:24:32:c2:60:37	0x0800		192.168.1.144	07	"Private network"	4840	192.168.1.135	07	"Private network"	58476	6	0x00	1	08:00:27:fc:14:7d_30:24:32:c2:60:37_12534	PcsSystem,US_IntelCorp,MY	4840	opcua-tcp	12534	12560	1242304	1235717	0	12308	99.11473	220.8157	0	0.043048	0.004960367	0.002425953	201.5982	19981.35	-0.001036104	0.002658169	0x0a13	1	48577	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1907362097	12532	1248096	0	12534	1235718	0	14480	31856	31872	31856	31872	0	1	1	0	0x031b	0x00c0	12534	37604	0x0000011e	1460	128	0x0000	0x00	0	0x00	3066635148	1806451371	0.001	3066635.293657	1709276411.522978647	0.002876992	0.001782016	0.02317901	0.003807805	0.001796798	0.004961591	0.002159701	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	21951	2211333
