%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	2	0x0400000000004000	1710534031.111243	1710534031.112023	0.00078	1	3	eth:ipv4:tcp	08:00:27:1c:fa:65	08:00:27:96:3f:7b	0x0800		192.168.1.135	07	Private network	58518	192.168.1.201	07	Private network	445	6	0x00	1	08:00:27:1c:fa:65_08:00:27:96:3f:7b_3	PcsSystem,US_PcsSystem,US	445	microsoft-ds	3	1	0	0	0	0	0.0	0.0	0	0.00074	0.00026	0.0004677963	3846.154	0.0	0.5	0.0	0x0a13	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3644316719	2	0	0	2	0	0	0	32120	32124.08	32120	32128	0	1	1	0	0x0416	0x3000	3	11	0x0000011e	1460	128	0x0000	0x00	0	0x00	874408706	13915	0.001	874408.747532	1709659622.3660457	0.000726	0.000726	0.000726	0.000726	0.0	0.00074	0.0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	7	6	6.0	0.8571429	9	160
B	2	0x0400000000004001	1710534031.111969	1710534031.111969	0.0	1	3	eth:ipv4:tcp	08:00:27:96:3f:7b	08:00:27:1c:fa:65	0x0800		192.168.1.201	07	Private network	445	192.168.1.135	07	Private network	58518	6	0x00	1	08:00:27:96:3f:7b_08:00:27:1c:fa:65_1	PcsSystem,US_PcsSystem,US	445	microsoft-ds	1	3	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	-0.5	0.0	0x0213	65535	0	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4051924003	1	0	0	1	0	0	0	8192	8192.0	8192	8192	0	0	0	0	0x0212	0x2000	1	5	0x0000011e	1460	256	0x0000	0x00	0	0x00	13915	874408705	0.1	1391.500021	1710532639.3907917	1.4e-05	1.4e-05	5.4e-05	2.733333e-05	2.309401e-05	0.0007533333	2.309401e-05	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	6	5	5.0	0.8333333	4	0
A	5	0x0400000000004000	1710534031.114184	1710534031.123718	0.009534	1	3	eth:ipv4:tcp	08:00:27:1c:fa:65	08:00:27:96:3f:7b	0x0800		192.168.1.135	07	Private network	58530	192.168.1.201	07	Private network	445	6	0x00	1	08:00:27:1c:fa:65_08:00:27:96:3f:7b_3	PcsSystem,US_PcsSystem,US	445	microsoft-ds	3	2	110	0	0	110	36.66667	63.50853	0	0.0092	0.003178	0.005218769	314.6633	11537.65	0.2	1.0	0x0a13	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3603783960	2	0	0	2	0	0	110	32120	32124.08	32120	32128	0	1	1	0	0x001a	0x3000	3	11	0x0000011e	1460	128	0x0000	0x00	0	0x00	874408718	13915	0.001	874408.759532	1709659622.3660152	0.000325	0.000325	0.000379	0.000352	3.818377e-05	0.000334	0.0	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	5	4	4.0	0.8	9	160
B	5	0x0400000000004001	1710534031.114509	1710534031.124097	0.009588	1	3	eth:ipv4:tcp	08:00:27:96:3f:7b	08:00:27:1c:fa:65	0x0800		192.168.1.201	07	Private network	445	192.168.1.135	07	Private network	58530	6	0x00	1	08:00:27:96:3f:7b_08:00:27:1c:fa:65_2	PcsSystem,US_PcsSystem,US	445	microsoft-ds	2	3	0	110	0	0	0.0	0.0	0	0.009588	0.004794	0.00677974	208.5941	0.0	-0.2	-1.0	0x0213	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3657735622	2	0	0	2	110	0	0	8192	5734.4	0	8192	1	0	0	0	0x0616	0x2000	1	5	0x0000011e	1460	256	0x0000	0x00	0	0x00	13915	874408708	0.1	1391.500021	1710532639.3910456	9e-06	9e-06	0.009209	0.003075666	0.005311622	0.003427667	0.005311759	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	3	3.0	0.75	4	0
A	7	0x0400000000004000	1710534031.17525	1710534031.227788	0.052538	1	3	eth:ipv4:tcp	08:00:27:1c:fa:65	08:00:27:96:3f:7b	0x0800		192.168.1.135	07	Private network	58532	192.168.1.201	07	Private network	445	6	0x00	1	08:00:27:1c:fa:65_08:00:27:96:3f:7b_3	PcsSystem,US_PcsSystem,US	445	microsoft-ds	3	2	88	0	0	88	29.33333	50.80682	0	0.052109	0.01751267	0.02996233	57.10153	1674.978	0.2	1.0	0x0a13	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2290589772	2	0	0	2	0	0	88	32120	32124.08	32120	32128	0	1	1	0	0x001a	0x3000	3	11	0x0000011e	1460	128	0x0000	0x00	0	0x00	874408822	13921	0.001	874408.863532	1709659622.3660223	0.000413008	0.000413008	0.000584992	0.000499	0.000121611	0.000429008	0.0	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	2	2.0	0.6666667	10	248
B	7	0x0400000000004001	1710534031.175663	1710534031.228373	0.05271	1	3	eth:ipv4:tcp	08:00:27:96:3f:7b	08:00:27:1c:fa:65	0x0800		192.168.1.201	07	Private network	445	192.168.1.135	07	Private network	58532	6	0x00	1	08:00:27:96:3f:7b_08:00:27:1c:fa:65_2	PcsSystem,US_PcsSystem,US	445	microsoft-ds	2	3	0	88	0	0	0.0	0.0	0	0.05271	0.026355	0.0372716	37.94346	0.0	-0.2	-1.0	0x0213	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2322742775	2	0	0	2	88	0	0	8192	5734.4	0	8192	1	0	0	0	0x0616	0x2000	1	5	0x0000011e	1460	256	0x0000	0x00	0	0x00	13921	874408769	0.1	1392.100021	1710532639.075642	1.6e-05	1.6e-05	0.05212499	0.01738566	0.03008514	0.01788466	0.03008539	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	1	1.0	0.5	5	0
A	8	0x0400000000004000	1710534032.12892	1710534032.853874	0.724954	1	3	eth:ipv4:tcp	08:00:27:1c:fa:65	08:00:27:96:3f:7b	0x0800		192.168.1.135	07	Private network	58536	192.168.1.201	07	Private network	445	6	0x00	1	08:00:27:1c:fa:65_08:00:27:96:3f:7b_17	PcsSystem,US_PcsSystem,US	445	microsoft-ds	17	10	955	1215	0	271	56.17647	86.9749	0	0.104723	0.04264436	0.04804759	23.44976	1317.325	0.2592593	-0.1198157	0x0a13	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2692253186	16	955	0	16	1215	0	271	32120	31874.61	31872	32128	2	1	3	0	0x011b	0x0000	17	53	0x0000011e	1460	128	0x0000	0x00	0	0x00	874410448	14079	0.001	874410.489532	1709659622.3643415	0.000604	0.000513024	0.100754	0.01301181	0.03875178	0.000635	0.0	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	2	2.0	0.5	28	1253
B	8	0x0400000000004001	1710534032.129524	1710534032.854718	0.725194	1	3	eth:ipv4:tcp	08:00:27:96:3f:7b	08:00:27:1c:fa:65	0x0800		192.168.1.201	07	Private network	445	192.168.1.135	07	Private network	58536	6	0x00	1	08:00:27:96:3f:7b_08:00:27:1c:fa:65_10	PcsSystem,US_PcsSystem,US	445	microsoft-ds	10	17	1215	955	0	406	121.5	173.4863	0	0.113628	0.0725194	0.0547759	13.78941	1675.414	-0.2592593	0.1198157	0x0a13	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1591168958	10	1215	0	10	955	0	406	8192	43647.27	0	66560	5	1	6	0	0x061e	0x0000	9	29	0x0000011e	1460	256	0x0000	0x00	0	0x00	14089	874410448	0.01	140.889997	1710533891.4260457	3.1e-05	1.5008e-05	0.104738	0.03747818	0.04863031	0.05048999	0.06218205	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	1	1.0	0.3333333	15	1215
A	10	0x0400000000004000	1710534033.184796	1710534033.195179	0.010383	1	3	eth:ipv4:tcp	08:00:27:1c:fa:65	08:00:27:96:3f:7b	0x0800		192.168.1.135	07	Private network	46424	192.168.1.201	07	Private network	445	6	0x00	1	08:00:27:1c:fa:65_08:00:27:96:3f:7b_9	PcsSystem,US_PcsSystem,US	445	microsoft-ds	9	8	524	770	0	180	58.22222	71.34168	0	0.001892	0.001153667	0.0007676384	866.8015	50467.11	0.05882353	-0.1901082	0x0a13	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4078619531	8	524	0	8	770	0	180	32120	31917.33	31872	32128	2	1	3	0	0x011b	0x0000	9	29	0x0000011e	1460	128	0x0000	0x00	0	0x00	874410789	14123	0.001	874410.830532	1709659622.3660614	0.000424992	0.000424992	0.0006	0.000517	7.518465e-05	0.000444	0.0	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	2	2.0	0.5	37	1777
B	10	0x0400000000004001	1710534033.185221	1710534033.19576	0.010539	1	3	eth:ipv4:tcp	08:00:27:96:3f:7b	08:00:27:1c:fa:65	0x0800		192.168.1.201	07	Private network	445	192.168.1.135	07	Private network	46424	6	0x00	1	08:00:27:96:3f:7b_08:00:27:1c:fa:65_8	PcsSystem,US_PcsSystem,US	445	microsoft-ds	8	9	770	524	0	406	96.25	153.6423	0	0.001987	0.001317375	0.000899441	759.0853	73061.96	-0.05882353	0.1901082	0x0a13	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1568480347	8	770	0	8	524	0	406	8192	41499.89	0	66560	3	1	4	0	0x061e	0x0000	7	23	0x0000011e	1460	256	0x0000	0x00	0	0x00	14123	874410789	0.01	141.229997	1710533891.4261591	1.9008e-05	1.0992e-05	0.001419008	0.0008134453	0.0006688281	0.001330445	0.0006730406	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	1	1.0	0.3333333	23	1985
