%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0400000000004000	1656782571.146651	1656782571.154979	0.008328	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	74:86:7a:65:6e:97	0x0800		192.168.2.87	07	Private network	42069	192.168.2.91	07	Private network	8088	6	0x00	1	08:00:27:50:4c:14_74:86:7a:65:6e:97_6	PcsSystem,US_DellInc,US	8088	radan-http	6	4	120	454	0	120	20.0	53.96913	0	0.00444	0.001388	0.001714839	720.4611	14409.22	0.2	-0.5818815	0x0a13	27883	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1542954339	5	120	0	5	454	0	120	64240	64169.21	64128	64256	1	1	2	0	0x011b	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	2967147726	0	0.004	11868591.467728	1644913979.397489	0.001508992	0.001038992	0.004418992	0.002001492	0.001858808	0.001536	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	6	6	6	1	124	414205
B	1	0x0400000000004001	1656782571.14816	1656782571.154958	0.006798	1	3	eth:ipv4:tcp	74:86:7a:65:6e:97	08:00:27:50:4c:14	0x0800		192.168.2.91	07	Private network	8088	192.168.2.87	07	Private network	42069	6	0x00	1	74:86:7a:65:6e:97_08:00:27:50:4c:14_4	DellInc,US_PcsSystem,US	8088	radan-http	4	6	454	120	0	454	113.5	264.8333	0	0.004785	0.0016995	0.002654006	588.4083	66784.34	-0.2	0.5818815	0x0a11	1	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	658795080	4	454	0	4	120	0	454	65535	108592.8	65535	131072	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	2.7008e-05	2.1008e-05	0.000974016	0.0002393413	0.0003966109	0.002240833	0.001900649	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	5	5	5	1	147	15590
A	2	0x0400000000004000	1656782571.156127	1656782571.163567	0.00744	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	74:86:7a:65:6e:97	0x0800		192.168.2.87	07	Private network	36493	192.168.2.91	07	Private network	8088	6	0x00	1	08:00:27:50:4c:14_74:86:7a:65:6e:97_6	PcsSystem,US_DellInc,US	8088	radan-http	6	4	120	454	0	120	20.0	53.96913	0	0.004078	0.00124	0.001586132	806.4517	16129.03	0.2	-0.5818815	0x0a13	38314	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2206347205	5	120	0	5	454	0	120	64240	64169.21	64128	64256	1	1	2	0	0x011b	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	2967147735	0	0.004	11868591.503728	1644913979.3948367	0.001372992	0.000976992	0.004054016	0.001845248	0.001698792	0.0014	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4	1	124	414205
B	2	0x0400000000004001	1656782571.1575	1656782571.163545	0.006045	1	3	eth:ipv4:tcp	74:86:7a:65:6e:97	08:00:27:50:4c:14	0x0800		192.168.2.91	07	Private network	8088	192.168.2.87	07	Private network	36493	6	0x00	1	74:86:7a:65:6e:97_08:00:27:50:4c:14_4	DellInc,US_PcsSystem,US	8088	radan-http	4	6	454	120	0	454	113.5	264.8333	0	0.004427	0.00151125	0.002450162	661.7039	75103.39	-0.2	0.5818815	0x0a11	1	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1691508999	4	454	0	4	120	0	454	65535	108592.8	65535	131072	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	2.7008e-05	2.2016e-05	0.000640992	0.0001856693	0.0002742604	0.002030917	0.001720788	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	3	3	1	147	15590
A	3	0x0400000000004000	1656782571.183204	1656782571.195988	0.012784	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	74:86:7a:65:6e:97	0x0800		192.168.2.87	07	Private network	35277	192.168.2.91	07	Private network	8088	6	0x00	1	08:00:27:50:4c:14_74:86:7a:65:6e:97_8	PcsSystem,US_DellInc,US	8088	radan-http	8	8	10384	7581	0	7300	1298.0	2957.225	0	0.009452	0.001598	0.003353178	625.7822	812265.4	0.0	0.1560256	0x0a13	39962	5	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2447665851	7	10384	0	7	7581	0	10384	64240	63696.42	59648	64256	1	2	2	0	0x011b	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	2967147762	0	0.004	11868591.611728	1644913979.3867445	0.00121	0.000484	0.009443008	0.002198626	0.003073732	0.001224	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	125	414317
B	3	0x0400000000004001	1656782571.184414	1656782571.195972	0.011558	1	3	eth:ipv4:tcp	74:86:7a:65:6e:97	08:00:27:50:4c:14	0x0800		192.168.2.91	07	Private network	8088	192.168.2.87	07	Private network	35277	6	0x00	1	74:86:7a:65:6e:97_08:00:27:50:4c:14_8	DellInc,US_PcsSystem,US	8088	radan-http	8	8	7581	10384	0	7574	947.625	2793.033	0	0.007907	0.00144475	0.002852034	692.1613	655909.3	0.0	-0.1560256	0x0a11	1	6	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2192509402	8	7581	0	8	10384	0	7574	65535	125909.7	65535	131328	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	1.4e-05	4e-06	0.000393008	0.000130998	0.0001779174	0.002329624	0.003078877	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	147	15590
A	4	0x0400000000004000	1656782573.483989	1656782588.220738	14.736749	1	3	eth:ipv4:tcp	74:86:7a:65:6e:97	08:00:27:50:4c:14	0x0800		192.168.2.91	07	Private network	60964	192.168.2.87	07	Private network	102	6	0x00	1	74:86:7a:65:6e:97_08:00:27:50:4c:14_141	DellInc,US_PcsSystem,US	102	iso-tsap	141	114	23981	404029	0	7300	170.078	894.9924	0	4.109911	0.104516	0.5558026	9.567918	1627.292	0.1058824	-0.8879419	0x0a11	1	5	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	762075067	139	23981	0	139	404029	0	7300	64240	64040.24	0	131328	9	5	10	0	0x051f	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	2.6016e-05	3.968e-06	4.055566	0.1392188	0.6080257	0.001126016	0.0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	157	32470
B	4	0x0400000000004001	1656782573.484015	1656782588.219771	14.735756	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	74:86:7a:65:6e:97	0x0800		192.168.2.87	07	Private network	102	192.168.2.91	07	Private network	60964	6	0x00	1	08:00:27:50:4c:14_74:86:7a:65:6e:97_114	PcsSystem,US_DellInc,US	102	iso-tsap	114	141	404029	23981	0	13140	3544.114	3775.896	0	4.054999	0.129261	0.6091597	7.736284	27418.28	-0.1058824	0.8879419	0x0a11	1	19154	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3734909853	114	404029	0	114	23981	0	37960	64240	63831.77	60672	64256	3	3	4	0	0x031b	0x0000	1	6	0x0000001e	1460	128	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0011	0.000149	0.439822	0.0154637	0.04216342	0.1546825	0.6094859	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	9	336
A	5	0x0400000000004000	1656782575.094905	1656782590.105524	15.010619	1	3	eth:ipv4:udp	14:eb:b6:85:16:04	ff:ff:ff:ff:ff:ff	0x0800		192.168.2.86	07	Private network	137	192.168.2.255	07	Private network	137	17	0x00	1	14:eb:b6:85:16:04_ff:ff:ff:ff:ff:ff_6	-_Broadcast	137	netbios-ns	6	0	300	0	50	50	50.0	20.41241	0	12.00961	2.50177	4.907323	0.399717	19.98585	1.0	1.0	0x0001	1	1	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	6	300
A	6	0x0000000000000024	1656782575.500494	1656782591.509712	16.009218	1	2	eth:lldp	14:eb:b6:85:16:04	01:80:c2:00:00:0e	0x88cc		-	-	-	0	-	-	-	0	0	0x00	1	14:eb:b6:85:16:04_01:80:c2:00:00:0e_3	-_NearestBr	0	unknown	3	0	435	0	145	145	145.0	83.71579	0	8.004867	5.336406	5.166919	0.187392	27.17184	1.0	1.0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
