%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	2	0x0400000000004000	1656782670.575869	1656782670.583305	0.007436	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	74:86:7a:65:6e:97	0x0800		192.168.2.87	07	Private network	38551	192.168.2.91	07	Private network	8088	6	0x00	1	08:00:27:50:4c:14_74:86:7a:65:6e:97_6	PcsSystem,US_DellInc,US	8088	radan-http	6	4	120	454	0	120	20.0	53.96913	0	0.003804	0.001239333	0.001480165	806.8854	16137.71	0.2	-0.5818815	0x0a13	20461	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1085399931	5	120	0	5	454	0	120	64240	64169.21	64128	64256	1	1	2	0	0x011b	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	2967247155	0	0.004	11868989.183747	1644913681.3921223	0.001505024	0.001076992	0.003784064	0.001860768	0.001478457	0.001531008	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	6	6	6.0	1	128	414181
B	2	0x0400000000004001	1656782670.577374	1656782670.583286	0.005912	1	3	eth:ipv4:tcp	74:86:7a:65:6e:97	08:00:27:50:4c:14	0x0800		192.168.2.91	07	Private network	8088	192.168.2.87	07	Private network	38551	6	0x00	1	74:86:7a:65:6e:97_08:00:27:50:4c:14_4	DellInc,US_PcsSystem,US	8088	radan-http	4	6	454	120	0	454	113.5	264.8333	0	0.00427	0.001478	0.00236429	676.59	76792.97	-0.2	0.5818815	0x0a11	1	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1513275975	4	454	0	4	120	0	454	65535	108592.8	65535	131072	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	2.5984e-05	1.9008e-05	0.000564992	0.0001903147	0.0002769732	0.002051083	0.001504177	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	5	5	5.0	1	146	15590
A	3	0x0400000000004000	1656782670.584544	1656782670.591484	0.00694	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	74:86:7a:65:6e:97	0x0800		192.168.2.87	07	Private network	43749	192.168.2.91	07	Private network	8088	6	0x00	1	08:00:27:50:4c:14_74:86:7a:65:6e:97_6	PcsSystem,US_DellInc,US	8088	radan-http	6	4	120	454	0	120	20.0	53.96913	0	0.003951	0.001156667	0.001541892	864.5533	17291.07	0.2	-0.5818815	0x0a13	46194	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2569070799	5	120	0	5	454	0	120	64240	64169.21	64128	64256	1	1	2	0	0x011b	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	2967247163	0	0.004	11868989.215747	1644913681.3687973	0.001158016	0.000993024	0.003929984	0.001768512	0.001670214	0.001166976	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4.0	1	128	414181
B	3	0x0400000000004001	1656782670.585702	1656782670.591462	0.00576	1	3	eth:ipv4:tcp	74:86:7a:65:6e:97	08:00:27:50:4c:14	0x0800		192.168.2.91	07	Private network	8088	192.168.2.87	07	Private network	43749	6	0x00	1	74:86:7a:65:6e:97_08:00:27:50:4c:14_4	DellInc,US_PcsSystem,US	8088	radan-http	4	6	454	120	0	454	113.5	264.8333	0	0.004149	0.00144	0.002297577	694.4445	78819.45	-0.2	0.5818815	0x0a11	1	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3934337633	4	454	0	4	120	0	454	65535	108592.8	65535	131072	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	8.96e-06	8.96e-06	0.000617984	0.0001496533	0.0002507683	0.001918165	0.001688934	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	3	3.0	1	146	15590
A	4	0x0400000000004000	1656782670.615124	1656782670.637192	0.022068	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	74:86:7a:65:6e:97	0x0800		192.168.2.87	07	Private network	41633	192.168.2.91	07	Private network	8088	6	0x00	1	08:00:27:50:4c:14_74:86:7a:65:6e:97_8	PcsSystem,US_DellInc,US	8088	radan-http	8	8	10360	7581	0	7300	1295.0	2954.991	0	0.018477	0.0027585	0.006651097	362.5159	469458.1	0.0	0.1548966	0x0a13	60747	5	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2596214255	7	10360	0	7	7581	0	10360	64240	63696.42	59648	64256	1	2	2	0	0x011b	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	2967247194	0	0.004	11868989.339747	1644913681.2753773	0.001329024	0.000451008	0.01846202	0.003404008	0.006361484	0.00134304	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2.0	1	128	414181
B	4	0x0400000000004001	1656782670.616453	1656782670.637173	0.02072	1	3	eth:ipv4:tcp	74:86:7a:65:6e:97	08:00:27:50:4c:14	0x0800		192.168.2.91	07	Private network	8088	192.168.2.87	07	Private network	41633	6	0x00	1	74:86:7a:65:6e:97_08:00:27:50:4c:14_8	DellInc,US_PcsSystem,US	8088	radan-http	8	8	7581	10360	0	7574	947.625	2793.033	0	0.016303	0.00259	0.005840259	386.1004	365878.4	0.0	-0.1548966	0x0a11	1	6	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	295236675	8	7581	0	8	10360	0	7574	65535	125696.7	65535	131328	1	1	2	0	0x031b	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	1.4016e-05	5.056e-06	0.000513984	0.00017164	0.0002492377	0.003575648	0.006366364	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1.0	1	146	15590
A	6	0x0400000000004000	1656782674.070795	1656782686.827882	12.757087	1	3	eth:ipv4:tcp	74:86:7a:65:6e:97	08:00:27:50:4c:14	0x0800		192.168.2.91	07	Private network	60969	192.168.2.87	07	Private network	502	6	0x00	1	74:86:7a:65:6e:97_08:00:27:50:4c:14_140	DellInc,US_PcsSystem,US	502	asa-appl-proto	140	119	23869	404029	0	7300	170.4929	897.5847	0	3.246571	0.09112205	0.4572273	10.97429	1871.038	0.08108108	-0.888436	0x0a11	1	5	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1346088816	138	23869	0	138	404029	0	7300	64240	64040.23	0	131328	9	4	10	0	0x051f	0x0000	1	6	0x0000001e	1460	256	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	4.9e-05	5.008e-06	3.196892	0.1157836	0.4873143	0.001311	0.0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2.0	1	156	32358
B	6	0x0400000000004001	1656782674.070844	1656782686.826693	12.755849	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	74:86:7a:65:6e:97	0x0800		192.168.2.87	07	Private network	502	192.168.2.91	07	Private network	60969	6	0x00	1	08:00:27:50:4c:14_74:86:7a:65:6e:97_119	PcsSystem,US_DellInc,US	502	asa-appl-proto	119	140	404029	23869	0	14600	3395.202	3672.078	0	3.196874	0.107192	0.488186	9.329054	31674.02	-0.08108108	0.888436	0x0a11	1	2947	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2222735488	119	404029	0	119	23869	0	36500	64240	63942.27	55808	64256	4	3	5	0	0x031b	0x0000	1	6	0x0000001e	1460	128	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.001262	0.000227968	0.500266	0.0159239	0.04691951	0.1317075	0.4895679	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1.0	1	11	448
A	7	0x0400000002004000	1656782677.051086	1656782680.052677	3.001591	1	4	eth:ipv4:udp:ssdp	14:eb:b6:85:16:04	01:00:5e:7f:ff:fa	0x0800		192.168.2.86	07	Private network	55802	239.255.255.250	10	Organization-Local Scope	1900	17	0x00	1	14:eb:b6:85:16:04_01:00:5e:7f:ff:fa_4	-_IPv4Multi	1900	ssdp	4	0	700	0	175	175	175.0	87.5	0	1.000728	0.7503977	0.583639	1.332627	233.2097	1.0	1.0	0x0001	1	1	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5	1	10	1000
A	1	0x0400000000004000	1656782669.728324	1656782684.739827	15.011503	1	3	eth:ipv4:udp	14:eb:b6:85:16:04	ff:ff:ff:ff:ff:ff	0x0800		192.168.2.86	07	Private network	137	192.168.2.255	07	Private network	137	17	0x00	1	14:eb:b6:85:16:04_ff:ff:ff:ff:ff:ff_6	-_Broadcast	137	netbios-ns	6	0	300	0	50	50	50.0	20.41241	0	12.01106	2.501917	4.907983	0.3996935	19.98467	1.0	1.0	0x0001	1	1	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1.0	1	10	1000
