%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	5	0x0400000000004000	1654453853.813038000	1654453904.810777000	50.997739000	1	3	eth:ipv4:tcp	08:00:27:f6:0b:83	08:00:27:50:4c:14	0x0800		192.168.2.92	07	"Private network"	1049	192.168.2.87	07	"Private network"	502	6	0x00	1	08:00:27:f6:0b:83_08:00:27:50:4c:14_95	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	95	124	8605	404029	0	3008	90.57895	355.4608	0	18.93189	0.5368183	2.728437	1.862828	168.733	-0.1324201	-0.9582924	0x0931	1	2087	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2961998815	94	8605	0	94	404029	0	3008	64240	44103.39	0	64240	53	11	49	0.01052632	0x051f	0x0000	1	4	0x00000016	1460	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	3.0976e-05	4.992e-06	18.88087	0.4217696	2.388921	0.001374976	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667	1	101	8765
B	5	0x0400000000004001	1654453853.813069000	1654453904.809111000	50.996042000	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	08:00:27:f6:0b:83	0x0800		192.168.2.87	07	"Private network"	502	192.168.2.92	07	"Private network"	1049	6	0x00	1	08:00:27:50:4c:14_08:00:27:f6:0b:83_124	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	124	95	404029	8605	0	16060	3258.298	3692.233	0	18.88066	0.4112584	2.390209	2.431561	7922.752	0.1324201	0.9582924	0x0011	1	59272	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2403926412	124	404029	0	124	8605	0	36500	64240	62905.06	62780	64240	2	0	0	0	0x031b	0x0000	1	4	0x00000016	1460	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.001344	0.000182016	0.1831229	0.01556606	0.03330338	0.4373356	2.389153	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1	1	129	414160
A	3	0x0000000000000044	1654453853.793057000	1654453853.793057000	0.000000000	1	2	eth:arp	08:00:27:f6:0b:83	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	08:00:27:f6:0b:83_ff:ff:ff:ff:ff:ff_1	PcsSystem,US_Broadcast	0	unknown	1	0	46	0	46	46	46	46	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	4	0x0000000000000044	1654453853.793062000	1654453853.793062000	0.000000000	1	2	eth:arp	08:00:27:50:4c:14	08:00:27:f6:0b:83	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	08:00:27:50:4c:14_08:00:27:f6:0b:83_1	PcsSystem,US_PcsSystem,US	0	unknown	1	0	28	0	28	28	28	28	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	2	0x0400000000004000	1654453853.791573000	1654453853.801486000	0.009913000	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	08:00:27:f6:0b:83	0x0800		192.168.2.87	07	"Private network"	40357	192.168.2.92	07	"Private network"	912	6	0x00	1	08:00:27:50:4c:14_08:00:27:f6:0b:83_5	PcsSystem,US_PcsSystem,US	912	apex-mesh	5	2	10131	0	0	7240	2026.2	3436.876	0	0.007168	0.0019826	0.003372973	504.3882	1021991	0.4285714	1	0x0a13	1	5	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	163497874	4	10131	0	4	0	0	10131	64240	64252.16	64240	64256	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	3589562455	0	0.001	3589562.625495	1650864291.175990933	0.002569984	0.002569984	0.005288	0.003928992	0.001921928	0.00258304	0	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	129	414160
B	2	0x0400000000004001	1654453853.794143000	1654453853.806774000	0.012631000	1	3	eth:ipv4:tcp	08:00:27:f6:0b:83	08:00:27:50:4c:14	0x0800		192.168.2.92	07	"Private network"	912	192.168.2.87	07	"Private network"	40357	6	0x00	1	08:00:27:f6:0b:83_08:00:27:50:4c:14_2	PcsSystem,US_PcsSystem,US	912	apex-mesh	2	5	0	10131	0	0	0	0	0	0.012631	0.0063155	0.008931465	158.3406	0	-0.4285714	-1	0x0213	5	5	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3787758034	2	0	0	2	10132	0	0	64240	63807.1	62797	64240	1	0	0	0	0x0212	0x3000	2	12	0x0000011e	1460	1	0x0000	0x00	0	0x00	4683	3589562454	0.001	4.683000	1654453849.123773778	1.3056e-05	1.3056e-05	0.00734304	0.00437664	0.004229429	0.008305632	0.004645629	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	101	8765
A	10	0x0400000000004000	1654453870.348237000	1654453877.703099000	7.354862000	1	3	eth:ipv4:udp	14:eb:b6:85:16:04	01:00:5e:7f:ff:fa	0x0800		192.168.2.86	07	"Private network"	52991	239.255.255.250	10	"Organization-Local Scope"	3702	17	0x00	1	14:eb:b6:85:16:04_01:00:5e:7f:ff:fa_7	-_IPv4Multi	3702	ws-discovery	7	0	4592	0	656	656	656	247.9447	0	2.002107	1.050695	0.8912551	0.9517514	624.3489	1	1	0x0001	1	1	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	3	1	0.5	0.3333333	27	6588
A	9	0x0800000000008000	1654453870.346164000	1654453877.807725000	7.461561000	1	3	eth:ipv6:udp	14:eb:b6:85:16:04	33:33:00:00:00:0c	0x86dd		fe80::65a5:2299:e118:238	02	"Link-local"	52992	ff02::c	10	"SSDP"	3702	17	0x00	1	14:eb:b6:85:16:04_33:33:00:00:00:0c_7	-_IPv6Multi	3702	ws-discovery	7	0	4592	0	656	656	656	247.9447	0	2.002623	1.065937	0.8969023	0.9381415	615.4208	1	1	0x0001	65535	0	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	7	4592
A	6	0x0400000000004000	1654453854.369335000	1654453893.031764000	38.662429000	1	3	eth:ipv4:udp	08:00:27:f6:0b:83	ff:ff:ff:ff:ff:ff	0x0800		192.168.2.92	07	"Private network"	1028	255.255.255.255	11	"Broadcast"	1947	17	0x00	1	08:00:27:f6:0b:83_ff:ff:ff:ff:ff:ff_2	PcsSystem,US_Broadcast	1947	hlserver	2	0	80	0	40	40	40	28.28427	0	38.66243	19.33121	27.33847	0.05172981	2.069192	1	1	0x0001	4335	4335	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	2	1	2	101	8765
A	8	0x0400000000004000	1654453858.381204000	1654453897.041479000	38.660275000	1	3	eth:ipv4:udp	08:00:27:f6:0b:83	ff:ff:ff:ff:ff:ff	0x0800		192.168.2.92	07	"Private network"	1028	192.168.2.255	07	"Private network"	1947	17	0x00	1	08:00:27:f6:0b:83_ff:ff:ff:ff:ff:ff_2	PcsSystem,US_Broadcast	1947	hlserver	2	0	80	0	40	40	40	28.28427	0	38.66027	19.33014	27.33694	0.05173269	2.069308	1	1	0x0001	4443	4443	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	101	8765
