%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	2	0x0400000000004000	1718402426.713201	1718402426.713201	0.0	1	3	eth:ipv4:tcp	43:c5:dd:37:93:00	08:00:27:e8:1b:90	0x0800		192.168.1.134	07	Private network	57458	192.168.1.133	07	Private network	80	6	0x00	1	43:c5:dd:37:93:00_08:00:27:e8:1b:90_1	-_PcsSystem,US	80	http	1	1	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0x0013	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1214384803	0	0	0	0	0	0	0	32120	32120.0	32120	32120	0	0	0	0	0x0002	0x3000	1	5	0x0000011e	1460	0	0x0000	0x00	0	0x00	3339720590	0	0.004	13358882.994513	1705043543.4014657	0.002557952	0.002557952	0.002557952	0.002557952	0.0	0.002557952	0.0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	8	2	2.0	0.25	11	34
B	2	0x0400000000004001	1718402426.715759	1718402426.715759	0.0	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.133	07	Private network	80	192.168.1.134	07	Private network	57458	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_1	PcsSystem,US_-	80	http	1	1	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0x0011	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	1	0	0	1	0	0	0	0	0.0	0	0	0	0	0	0	0x0414	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.002557952	0.0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	7	1	1.0	0.1428571	8	4
A	3	0x0400000000004000	1718402426.713201	1718402426.713201	0.0	1	3	eth:ipv4:tcp	43:c5:dd:37:93:00	08:00:27:e8:1b:90	0x0800		192.168.1.134	07	Private network	45592	192.168.1.133	07	Private network	443	6	0x00	1	43:c5:dd:37:93:00_08:00:27:e8:1b:90_1	-_PcsSystem,US	443	https	1	1	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0x0013	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4157523013	0	0	0	0	0	0	0	32120	32120.0	32120	32120	0	0	0	0	0x0002	0x3000	1	5	0x0000011e	1460	0	0x0000	0x00	0	0x00	3339720590	0	0.004	13358882.994513	1705043543.4014657	0.002577984	0.002577984	0.002577984	0.002577984	0.0	0.002577984	0.0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	6	2	2.0	0.3333333	11	34
B	3	0x0400000000004001	1718402426.715779	1718402426.715779	0.0	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.133	07	Private network	443	192.168.1.134	07	Private network	45592	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_1	PcsSystem,US_-	443	https	1	1	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0x0011	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	1	0	0	1	0	0	0	0	0.0	0	0	0	0	0	0	0x0414	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.002577984	0.0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	5	1	1.0	0.2	8	4
A	6	0x0400000000004000	1718402426.720549	1718402426.724549	0.004	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43;43:c5:dd:37:93:00	08:00:27:e8:1b:90	0x0800		192.168.1.134	07	Private network	37832	192.168.1.133	07	Private network	1883	6	0x00	2	00:93:37:dd:c5:43_08:00:27:e8:1b:90_2;43:c5:dd:37:93:00_08:00:27:e8:1b:90_1	-_PcsSystem,US;-_PcsSystem,US	1883	ibm-mqisdp	3	1	0	0	0	0	0.0	0.0	0	0.003771	0.001333333	0.002377985	749.9999	0.0	0.5	0.0	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3069429140	2	0	0	2	0	0	0	32120	32124.08	32120	32128	0	1	1	0	0x0416	0x3000	3	11	0x0000011e	1460	128	0x0000	0x00	0	0x00	3339720615	49402817	0.001	3339720.773628	1715062705.4246888	3.2e-05	3.2e-05	3.2e-05	3.2e-05	0.0	0.003771008	0.0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4.0	1.0	11	34
B	6	0x0400000000004001	1718402426.720581	1718402426.720581	0.0	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.133	07	Private network	1883	192.168.1.134	07	Private network	37832	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_1	PcsSystem,US_-	1883	ibm-mqisdp	1	3	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	-0.5	0.0	0x0213	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2623698950	1	0	0	1	0	0	0	31856	31856.0	31856	31856	0	0	0	0	0x0212	0x2000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	49402817	3339720611	0.004	197611.277386	1718204815.4431949	0.003739008	0.003739008	0.003968	0.003815339	0.0001322086	0.003847339	0.0001322086	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	3	3.0	1.0	8	4
A	7	0x0400000000004000	1718402426.724549	1718402426.731467	0.006918	1	3	eth:ipv4:tcp	43:c5:dd:37:93:00;00:93:37:dd:c5:43	08:00:27:e8:1b:90	0x0800		192.168.1.134	07	Private network	37846	192.168.1.133	07	Private network	1883	6	0x00	2	43:c5:dd:37:93:00_08:00:27:e8:1b:90_4;00:93:37:dd:c5:43_08:00:27:e8:1b:90_2	-_PcsSystem,US;-_PcsSystem,US	1883	ibm-mqisdp	6	5	34	4	0	34	5.666667	15.29125	0	0.004287	0.001153	0.002048834	867.3027	4914.715	0.09090909	0.7894737	0x0a13	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1480211288	5	34	0	5	4	0	34	32120	32126.65	32120	32128	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	128	0x0000	0x00	0	0x00	3339720621	49402824	0.001	3339720.779628	1715062705.4247806	2.5024e-05	2.5024e-05	0.000439936	0.0001881856	0.0002205578	0.00263104	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2.0	1.0	11	34
B	7	0x0400000000004001	1718402426.724574	1718402426.731497	0.006923	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.133	07	Private network	1883	192.168.1.134	07	Private network	37846	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_5	PcsSystem,US_-	1883	ibm-mqisdp	5	6	4	34	0	4	0.8	1.937926	0	0.003877	0.0013846	0.001932811	722.2303	577.7842	-0.09090909	-0.7894737	0x0a13	1	29318	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	202595064	5	4	0	5	34	0	4	31856	31868.16	31856	31872	0	1	1	0	0x031b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	49402827	3339720621	0.001	49402.829347	1718353023.4198115	0.002606016	0.002606016	0.00384704	0.003102425	0.0006937536	0.003290611	0.0007279697	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1.0	1.0	8	4
A	4	0x0000000000000044	1718402426.713234	1718402426.713234	0.0	1	2	eth:arp	08:00:27:e8:1b:90	ff:ff:ff:ff:ff:ff	0x0806		-	-	-	0	-	-	-	0	0	0x00	1	08:00:27:e8:1b:90_ff:ff:ff:ff:ff:ff_1	PcsSystem,US_Broadcast	0	unknown	1	0	28	0	28	28	28.0	28.0	0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0.0	0.0	0	0
A	5	0x0000000000000044	1718402426.715742	1718402426.715742	0.0	1	2	eth:arp	00:93:37:dd:c5:43	08:00:27:e8:1b:90	0x0806		-	-	-	0	-	-	-	0	0	0x00	1	00:93:37:dd:c5:43_08:00:27:e8:1b:90_1	-_PcsSystem,US	0	unknown	1	0	46	0	46	46	46.0	46.0	0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0.0	0.0	0.0	0.0	65535.0	0.0	0.0	0.0	0.0	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0.0	0.0	0	0
