%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	2	0x0400000000004000	1722880127.941820793	1722880128.147425207	0.205604414	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.241	07	"Private network"	52378	192.168.1.195	07	"Private network"	4840	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_2	PcsSystem,US_-	4840	opcua-tcp	2	1	0	0	0	0	0	0	0	0.2056044	0.1028022	0.1453843	9.727417	0	0.3333333	0	0x0011	46061	0	39	64	1	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3502023411	0	0	0	0	0	0	0	1024	716.8	0	1024	1	0	0	0	0x0006	0x3000	1	1	0x00000004	1460	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.2055812	0.2055812	0.2055812	0.2055812	0	0.2056044	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	9	2	2	0.2222222	9	0
B	2	0x0400000000004001	1722880128.147402004	1722880128.147402004	0.000000000	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	08:00:27:e8:1b:90	0x0800		192.168.1.195	07	"Private network"	4840	192.168.1.241	07	"Private network"	52378	6	0x00	1	00:93:37:dd:c5:43_08:00:27:e8:1b:90_1	-_PcsSystem,US	4840	opcua-tcp	1	2	0	0	0	0	0	0	0	0	0	0	0	0	-0.3333333	0	0x0011	65535	0	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3807465679	1	0	0	1	0	0	0	64240	64240	64240	64240	0	0	0	0	0x0212	0x2000	1	1	0x00000004	1460	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	2.32e-05	2.32e-05	2.32e-05	2.32e-05	0	0.2056044	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	8	1	1	0.125	1	0
A	16	0x0400000000004000	1722880129.405833253	1722880129.408705003	0.002871750	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.241	07	"Private network"	52383	192.168.1.195	07	"Private network"	4840	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_2	PcsSystem,US_-	4840	opcua-tcp	2	1	0	0	0	0	0	0	0	0.00287175	0.001435875	0.002030634	696.4395	0	0.3333333	0	0x0011	49061	0	56	64	1	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3501826806	0	0	0	0	0	0	0	1024	716.8	0	1024	1	0	0	0	0x0006	0x3000	1	1	0x00000004	1460	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.002837792	0.002837792	0.002837792	0.002837792	0	0.002871744	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	16	2	2	0.125	18	0
B	16	0x0400000000004001	1722880129.408671056	1722880129.408671056	0.000000000	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	08:00:27:e8:1b:90	0x0800		192.168.1.195	07	"Private network"	4840	192.168.1.241	07	"Private network"	52383	6	0x00	1	00:93:37:dd:c5:43_08:00:27:e8:1b:90_1	-_PcsSystem,US	4840	opcua-tcp	1	2	0	0	0	0	0	0	0	0	0	0	0	0	-0.3333333	0	0x0011	65535	0	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2797818506	1	0	0	1	0	0	0	64240	64240	64240	64240	0	0	0	0	0x0212	0x2000	1	1	0x00000004	1460	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	3.3952e-05	3.3952e-05	3.3952e-05	3.3952e-05	0	0.002871744	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	15	1	1	0.06666667	2	0
A	17	0x0400000000004000	1722880129.601892833	1722880140.620275079	11.018382246	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.241	07	"Private network"	50416	192.168.1.195	07	"Private network"	4840	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_5	PcsSystem,US_-	4840	opcua-tcp	5	4	4	0	0	4	0.8	1.937926	0	6.003007	2.203677	3.242245	0.4537871	0.3630297	0.1111111	1	0x0a13	28201	1	64	64	0	0x00	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	132928559	4	4	0	4	0	0	4	32120	32126.08	32120	32128	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	2109180563	9333080	0.001	2109180.663181	1720770959.4253061675	0.004025472	0.004025472	0.05696576	0.01880931	0.02996619	0.004086784	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	30	16	16	0.5333334	56	162
B	17	0x0400000000004001	1722880129.605918358	1722880140.620267602	11.014349244	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	08:00:27:e8:1b:90	0x0800		192.168.1.195	07	"Private network"	4840	192.168.1.241	07	"Private network"	50416	6	0x00	1	00:93:37:dd:c5:43_08:00:27:e8:1b:90_4	-_PcsSystem,US	4840	opcua-tcp	4	5	0	4	0	0	0	0	0	6.060034	2.753587	3.671026	0.3631626	0	-0.1111111	-1	0x0a13	1	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1582958253	4	0	0	4	4	0	0	65535	712065.7	65535	1049600	0	1	1	0	0x0313	0x0000	4	14	0x0000011e	1460	256	0x0000	0x00	0	0x00	9333080	2109180556	0.001	9333.080443	1722870807.539824305	6.1312e-05	7.488e-06	6.003068	2.190073	3.231407	2.208882	3.231546	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	29	15	15	0.5172414	32	590
A	18	0x0400000000004000	1722880140.613186526	1722880140.648485944	0.035299418	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.241	07	"Private network"	37036	192.168.1.195	07	"Private network"	4840	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_5	PcsSystem,US_-	4840	opcua-tcp	5	4	18	119	0	18	3.6	8.720665	0	0.01594818	0.007059883	0.0082339	141.6454	509.9234	0.1111111	-0.7372262	0x0a13	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	491759233	4	18	0	4	119	0	18	32120	32126.08	32120	32128	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	2109180591	9333094	0.001	2109180.691181	1720770959.4253272538	0.003975104	0.000958912	0.01529645	0.005748128	0.007404604	0.003991552	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	28	14	14	0.5	56	162
B	18	0x0400000000004001	1722880140.617161616	1722880140.651248021	0.034086405	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	08:00:27:e8:1b:90	0x0800		192.168.1.195	07	"Private network"	4840	192.168.1.241	07	"Private network"	37036	6	0x00	1	00:93:37:dd:c5:43_08:00:27:e8:1b:90_4	-_PcsSystem,US	4840	opcua-tcp	4	5	119	18	0	119	29.75	69.41666	0	0.01775135	0.008521601	0.0103851	117.3488	3491.128	-0.1111111	0.7372262	0x0a13	1	3	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1033856504	4	119	0	4	18	0	119	65535	712065.7	65535	1049600	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1460	256	0x0000	0x00	0	0x00	9333112	2109180591	0.001	9333.112443	1722870807.538804722	1.6448e-05	1.6448e-05	0.01498925	0.003020377	0.006690815	0.008768505	0.009979738	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	27	13	13	0.4814815	32	590
A	19	0x0400000000004000	1722880140.648555243	1722880140.666121345	0.017566102	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.241	07	"Private network"	37046	192.168.1.195	07	"Private network"	4840	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_5	PcsSystem,US_-	4840	opcua-tcp	5	4	22	118	0	22	4.4	10.65859	0	0.01070619	0.003513221	0.004847951	284.6391	1252.412	0.1111111	-0.6857143	0x0a13	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3953634811	4	22	0	4	118	0	22	32120	32126.08	32120	32128	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	2109180609	9333126	0.001	2109180.709181	1720770959.4252907938	0.005025984	0.001819264	0.01069101	0.007056801	0.004713881	0.00504	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	26	12	12	0.4615385	56	162
B	19	0x0400000000004001	1722880140.653581278	1722880140.667940593	0.014359315	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	08:00:27:e8:1b:90	0x0800		192.168.1.195	07	"Private network"	4840	192.168.1.241	07	"Private network"	37046	6	0x00	1	00:93:37:dd:c5:43_08:00:27:e8:1b:90_4	-_PcsSystem,US	4840	opcua-tcp	4	5	118	22	0	118	29.5	68.83334	0	0.01073857	0.003589829	0.006003066	278.5648	8217.662	-0.1111111	0.6857143	0x0a13	1	1	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4127573377	4	118	0	4	22	0	118	65535	712065.7	65535	1049600	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1460	256	0x0000	0x00	0	0x00	9333130	2109180609	0.001	9333.130443	1722870807.537497294	1.4016e-05	1.4016e-05	0.001801408	0.0003784576	0.0007956087	0.007435258	0.004780551	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	25	11	11	0.44	32	590
