%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	6	0x0400000000004000	1722879284.253332250	1722879284.421801701	0.168469451	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.241	07	"Private network"	58278	192.168.1.195	07	"Private network"	4840	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_6	PcsSystem,US_-	4840	opcua-tcp	6	4	61	28	0	61	10.16667	27.43431	0	0.1354107	0.02807824	0.06529433	35.61477	362.0835	0.2	0.3707865	0x0a13	5259	1	64	64	0	0x00	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4219487039	5	61	0	5	28	0	61	32120	32126.65	32120	32128	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	128	0x0000	0x00	0	0x00	2108324364	8477328	0.001	2108324.464140	1720770959.4253628964	0.1353589	0.002864896	0.1353589	0.04255434	0.07138249	0.1354107	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	10	4	4	0.4	21	409
B	6	0x0400000000004001	1722879284.388691121	1722879284.421793937	0.033102816	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43;43:c5:dd:37:93:00	08:00:27:e8:1b:90	0x0800		192.168.1.195	07	"Private network"	4840	192.168.1.241	07	"Private network"	58278	6	0x00	2	00:93:37:dd:c5:43_08:00:27:e8:1b:90_3;43:c5:dd:37:93:00_08:00:27:e8:1b:90_1	-_PcsSystem,US;-_PcsSystem,US	4840	opcua-tcp	4	6	28	61	0	28	7	16.33333	0	0.02794538	0.008275704	0.01555699	120.8356	845.8494	-0.2	-0.3707865	0x0a13	1	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	526018737	4	28	0	4	61	0	28	65535	712065.7	65535	1049600	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1460	256	0x0000	0x00	0	0x00	8477328	2108324360	0.001	8477.328403	1722870807.093391286	5.184e-05	7.744e-06	0.00067744	0.000206192	0.0003059364	0.04276053	0.07138315	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	9	3	3	0.3333333	10	436
A	7	0x0400000000004000	1722879284.417156116	1722879284.445246638	0.028090522	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.241	07	"Private network"	58292	192.168.1.195	07	"Private network"	4840	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_9	PcsSystem,US_-	4840	opcua-tcp	9	6	348	408	0	132	38.66667	53.46793	0	0.009484868	0.003121169	0.003500247	320.3928	12388.52	0.2	-0.07936508	0x0a13	25071	1	64	64	0	0x00	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3656836721	8	348	0	8	408	0	132	32120	31946.18	31872	32128	2	1	3	0	0x011b	0x0000	9	29	0x0000011e	1460	128	0x0000	0x00	0	0x00	2108324388	8477351	0.001	2108324.488140	1720770959.4253073900	0.002776992	0.002203552	0.008775264	0.004591808	0.002645788	0.002792576	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	8	2	2	0.25	21	409
B	7	0x0400000000004001	1722879284.419933134	1722879284.445237684	0.025304550	1	3	eth:ipv4:tcp	43:c5:dd:37:93:00;00:93:37:dd:c5:43	08:00:27:e8:1b:90	0x0800		192.168.1.195	07	"Private network"	4840	192.168.1.241	07	"Private network"	58292	6	0x00	2	43:c5:dd:37:93:00_08:00:27:e8:1b:90_1;00:93:37:dd:c5:43_08:00:27:e8:1b:90_5	-_PcsSystem,US;-_PcsSystem,US	4840	opcua-tcp	6	9	408	348	0	245	68	107.1147	0	0.009328748	0.004217425	0.003859392	237.1115	16123.58	-0.2	0.07936508	0x0a13	1	3	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2871312147	6	408	0	6	349	0	245	65535	884040	65535	1049600	1	1	2	0	0x031b	0x0000	6	20	0x0000011e	1460	256	0x0000	0x00	0	0x00	8477351	2108324384	0.001	8477.351403	1722870807.093835032	1.5584e-05	8.928e-06	0.001232192	0.0004144995	0.0004752383	0.005006308	0.002688131	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	7	1	1	0.1428571	10	436
A	1	0x0400000000004000	1722879281.740757989	1722879281.740757989	0.000000000	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.241	07	"Private network"	33750	192.168.1.195	07	"Private network"	49320	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_1	PcsSystem,US_-	49320	unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0013	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3875766805	0	0	0	0	0	0	0	32120	32120	32120	32120	0	0	0	0	0x0002	0x1000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	2108321683	0	0.004	8433287.132560	1714445994.608198364	0	65535	0	0	0	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	14	1	1	0.07142857	86	5913
A	2	0x0400000000004000	1722879282.243157461	1722879282.243157461	0.000000000	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.241	07	"Private network"	43874	192.168.1.195	07	"Private network"	62541	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_1	PcsSystem,US_-	62541	unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0013	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3223102414	0	0	0	0	0	0	0	32120	32120	32120	32120	0	0	0	0	0x0002	0x1000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	2108322186	0	0.004	8433289.144560	1714445993.098597739	0	65535	0	0	0	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	13	1	1	0.07692308	86	5913
A	3	0x0400000000004000	1722879282.745033392	1722879282.745033392	0.000000000	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.241	07	"Private network"	49878	192.168.1.195	07	"Private network"	4897	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_1	PcsSystem,US_-	4897	unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0013	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3032981782	0	0	0	0	0	0	0	32120	32120	32120	32120	0	0	0	0	0x0002	0x1000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	2108322688	0	0.004	8433291.152560	1714445991.592473576	0	65535	0	0	0	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	12	1	1	0.08333334	86	5913
A	4	0x0400000000004000	1722879283.247318017	1722879283.247318017	0.000000000	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.241	07	"Private network"	54024	192.168.1.195	07	"Private network"	53530	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_1	PcsSystem,US_-	53530	unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0013	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3016795709	0	0	0	0	0	0	0	32120	32120	32120	32120	0	0	0	0	0x0002	0x1000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	2108323190	0	0.004	8433293.160560	1714445990.086758106	0	65535	0	0	0	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	11	1	1	0.09090909	86	5913
A	5	0x0400000000004000	1722879283.749486506	1722879283.749486506	0.000000000	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.241	07	"Private network"	37026	192.168.1.195	07	"Private network"	48050	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_1	PcsSystem,US_-	48050	unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0013	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2430424831	0	0	0	0	0	0	0	32120	32120	32120	32120	0	0	0	0	0x0002	0x1000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	2108323692	0	0.004	8433295.168560	1714445988.580926499	0	65535	0	0	0	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	10	1	1	0.1	86	5913
A	8	0x0400000000004000	1722879284.441810194	1722879284.441810194	0.000000000	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.241	07	"Private network"	49792	192.168.1.195	07	"Private network"	26543	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_1	PcsSystem,US_-	26543	unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0013	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2832172735	0	0	0	0	0	0	0	32120	32120	32120	32120	0	0	0	0	0x0002	0x1000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	2108324385	0	0.004	8433297.940560	1714445986.3797217351	0	65535	0	0	0	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	9	1	1	0.1111111	86	5913
