%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	14	0x0400000000004000	1711449035.373137000	1711449035.378049000	0.004912000	1	3	eth:ipv4:tcp	08:00:27:1c:fa:65	08:00:27:cc:73:ae	0x0800		192.168.1.135	07	"Private network"	54716	192.168.1.200	07	"Private network"	135	6	0x00	1	08:00:27:1c:fa:65_08:00:27:cc:73:ae_7	PcsSystem,US_PcsSystem,US	135	epmap	7	5	228	212	0	156	32.57143	63.61419	0	0.001876	0.0007017142	0.0007210703	1425.081	46416.94	0.1666667	0.03636364	0x0a13	45564	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1129743210	6	228	0	6	212	0	156	32120	32061.78	32000	32128	1	1	2	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	706752243	7648226	0.001	706752.276569	1710742283.101480070	9.6e-05	1.6e-05	0.000117984	6.11968e-05	4.803631e-05	0.000383008	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	728	364	364	0.5	2876	111352
B	14	0x0400000000004001	1711449035.373233000	1711449035.377730000	0.004497000	1	3	eth:ipv4:tcp	08:00:27:cc:73:ae	08:00:27:1c:fa:65	0x0800		192.168.1.200	07	"Private network"	135	192.168.1.135	07	"Private network"	54716	6	0x00	1	08:00:27:cc:73:ae_08:00:27:1c:fa:65_5	PcsSystem,US_PcsSystem,US	135	epmap	5	7	212	228	0	152	42.4	72.50763	0	0.001873	0.0008994	0.0009773144	1111.852	47142.54	-0.1666667	-0.03636364	0x0a13	1	1	128	128	0	0x00	0x0c40	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1858371561	5	212	0	5	228	0	152	8192	406624.8	8192	532736	1	1	2	0	0x031b	0x0000	5	17	0x0000011e	1460	256	0x0000	0x00	0	0x00	7648226	706752242	0.001	7648.226363	1711441387.151366729	0.000287008	0.00026	0.001757984	0.0007794331	0.0007141795	0.0008406299	0.0007157932	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	727	363	363	0.4993123	1959	64104
A	15	0x0400000000004000	1711449035.377889000	1711449035.386037000	0.008148000	1	3	eth:ipv4:tcp	08:00:27:1c:fa:65	08:00:27:cc:73:ae	0x0800		192.168.1.135	07	"Private network"	54078	192.168.1.200	07	"Private network"	49670	6	0x00	1	08:00:27:1c:fa:65_08:00:27:cc:73:ae_8	PcsSystem,US_PcsSystem,US	49670	unknown	8	6	380	140	0	180	47.5	74.51347	0	0.004177	0.0010185	0.001392179	981.8361	46637.21	0.1428571	0.4615385	0x0a13	15288	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2692722161	7	380	0	7	140	0	180	32120	32127.34	32120	32128	0	1	1	0	0x011b	0x0000	8	26	0x0000011e	1460	128	0x0000	0x00	0	0x00	706752251	7648234	0.001	706752.284569	1710742283.101468070	4.2016e-05	1.3984e-05	0.000308	9.099733e-05	0.0001149676	0.000311008	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	726	364	364	0.5013774	2876	111352
B	15	0x0400000000004001	1711449035.377931000	1711449035.385661000	0.007730000	1	3	eth:ipv4:tcp	08:00:27:cc:73:ae	08:00:27:1c:fa:65	0x0800		192.168.1.200	07	"Private network"	49670	192.168.1.135	07	"Private network"	54078	6	0x00	1	08:00:27:cc:73:ae_08:00:27:1c:fa:65_6	PcsSystem,US_PcsSystem,US	49670	unknown	6	8	140	380	0	60	23.33333	31.06177	0	0.003883	0.001288333	0.001521941	776.1966	18111.25	-0.1428571	-0.4615385	0x0a13	1	4	128	128	0	0x00	0x0c40	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3471653194	6	140	0	6	380	0	60	8192	444407.7	8192	532736	1	1	2	0	0x031b	0x0000	6	20	0x0000011e	1460	256	0x0000	0x00	0	0x00	7648234	706752250	0.001	7648.234363	1711441387.151297729	0.000268992	0.000268992	0.003868992	0.001053996	0.001271293	0.001144993	0.00127648	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	725	363	363	0.5006896	1959	64104
A	16	0x0400000000004000	1711449035.382674000	1711449035.388211000	0.005537000	1	3	eth:ipv4:tcp	08:00:27:1c:fa:65	08:00:27:cc:73:ae	0x0800		192.168.1.135	07	"Private network"	54730	192.168.1.200	07	"Private network"	135	6	0x00	1	08:00:27:1c:fa:65_08:00:27:cc:73:ae_7	PcsSystem,US_PcsSystem,US	135	epmap	7	5	228	212	0	156	32.57143	63.61419	0	0.002977	0.000791	0.001059959	1264.223	41177.53	0.1666667	0.03636364	0x0a13	65194	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3891367968	6	228	0	6	212	0	156	32120	32061.78	32000	32128	1	1	2	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	706752253	7648237	0.001	706752.286569	1710742283.101642070	6.0032e-05	1.2992e-05	0.000144	6.68032e-05	5.309582e-05	0.000321024	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	724	362	362	0.5	2876	111352
B	16	0x0400000000004001	1711449035.382734000	1711449035.387965000	0.005231000	1	3	eth:ipv4:tcp	08:00:27:cc:73:ae	08:00:27:1c:fa:65	0x0800		192.168.1.200	07	"Private network"	135	192.168.1.135	07	"Private network"	54730	6	0x00	1	08:00:27:cc:73:ae_08:00:27:1c:fa:65_5	PcsSystem,US_PcsSystem,US	135	epmap	5	7	212	228	0	152	42.4	72.50763	0	0.002903	0.0010462	0.001264115	955.8402	40527.62	-0.1666667	-0.03636364	0x0a13	1	3	128	128	0	0x00	0x0c40	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3653282506	5	212	0	5	228	0	152	8192	358823.5	8192	532736	0	2	1	0	0x031b	0x0000	5	17	0x0000011e	1460	256	0x0000	0x00	0	0x00	7648237	706752253	0.001	7648.237363	1711441387.150601729	0.000260992	0.000231008	0.002889984	0.0008527132	0.001024158	0.0009195164	0.001025533	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	723	361	361	0.4993084	1959	64104
A	18	0x0400000000004000	1711449035.393371000	1711449035.400313000	0.006942000	1	3	eth:ipv4:tcp	08:00:27:1c:fa:65	08:00:27:cc:73:ae	0x0800		192.168.1.135	07	"Private network"	54738	192.168.1.200	07	"Private network"	135	6	0x00	1	08:00:27:1c:fa:65_08:00:27:cc:73:ae_7	PcsSystem,US_PcsSystem,US	135	epmap	7	5	228	212	0	156	32.57143	63.61419	0	0.002737	0.0009917142	0.001216339	1008.355	32843.56	0.1666667	0.03636364	0x0a13	8427	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	645735166	6	228	0	6	212	0	156	32120	32061.78	32000	32128	1	1	2	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	706752265	7648249	0.001	706752.298569	1710742283.101744069	6e-05	2.6976e-05	0.000124992	6.0992e-05	4.173377e-05	0.000357984	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	722	360	360	0.498615	2876	111352
B	18	0x0400000000004001	1711449035.393431000	1711449035.400031000	0.006600000	1	3	eth:ipv4:tcp	08:00:27:cc:73:ae	08:00:27:1c:fa:65	0x0800		192.168.1.200	07	"Private network"	135	192.168.1.135	07	"Private network"	54738	6	0x00	1	08:00:27:cc:73:ae_08:00:27:1c:fa:65_5	PcsSystem,US_PcsSystem,US	135	epmap	5	7	212	228	0	152	42.4	72.50763	0	0.003122	0.00132	0.001575106	757.5757	32121.21	-0.1666667	-0.03636364	0x0a13	1	1	128	128	0	0x00	0x0c40	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3924042760	5	212	0	5	228	0	152	8192	406624.8	8192	532736	1	1	2	0	0x031b	0x0000	5	17	0x0000011e	1460	256	0x0000	0x00	0	0x00	7648249	706752265	0.001	7648.249363	1711441387.150667728	0.000297984	0.000281984	0.002996992	0.001081993	0.001228428	0.001142985	0.001229137	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	721	359	359	0.4979196	1959	64104
A	17	0x0400000000004000	1711449035.387900000	1711449035.408642000	0.020742000	1	3	eth:ipv4:tcp	08:00:27:1c:fa:65	08:00:27:cc:73:ae	0x0800		192.168.1.135	07	"Private network"	54086	192.168.1.200	07	"Private network"	49670	6	0x00	1	08:00:27:1c:fa:65_08:00:27:cc:73:ae_8	PcsSystem,US_PcsSystem,US	49670	unknown	8	6	380	140	0	180	47.5	74.51347	0	0.016214	0.00259275	0.005602833	385.6909	18320.32	0.1428571	0.4615385	0x0a13	29926	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3192757380	7	380	0	7	140	0	180	32120	32127.34	32120	32128	0	1	1	0	0x011b	0x0000	8	26	0x0000011e	1460	128	0x0000	0x00	0	0x00	706752273	7648257	0.001	706752.306569	1710742283.102073069	4.4992e-05	2.3008e-05	0.000316992	9.2992e-05	0.0001175206	0.000311008	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	720	362	362	0.5027778	2876	111352
B	17	0x0400000000004001	1711449035.387945000	1711449035.408355000	0.020410000	1	3	eth:ipv4:tcp	08:00:27:cc:73:ae	08:00:27:1c:fa:65	0x0800		192.168.1.200	07	"Private network"	49670	192.168.1.135	07	"Private network"	54086	6	0x00	1	08:00:27:cc:73:ae_08:00:27:1c:fa:65_6	PcsSystem,US_PcsSystem,US	49670	unknown	6	8	140	380	0	60	23.33333	31.06177	0	0.01592	0.003401667	0.006327096	293.9735	6859.383	-0.1428571	-0.4615385	0x0a13	1	13	128	128	0	0x00	0x0c40	0	0x00_0x00000000	0_0	0x00000000_0x00000000	816351321	6	140	0	6	380	0	60	8192	444407.7	8192	532736	1	1	2	0	0x031b	0x0000	6	20	0x0000011e	1460	256	0x0000	0x00	0	0x00	7648257	706752273	0.001	7648.257363	1711441387.150991728	0.000266016	0.000224	0.01589699	0.002620384	0.005467669	0.002713376	0.005468932	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	719	361	361	0.5020862	1959	64104
