%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	4	0x0000000000000044	1649964590.999452635	1649964592.002429483	1.002976848	1	2	eth:arp	7c:8b:ca:40:4d:db	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	7c:8b:ca:40:4d:db_ff:ff:ff:ff:ff:ff_2	TPLinkTec,CN_Broadcast	0	unknown	2	0	92	0	46	46	46	32.52691	0	1.002977	0.5014884	0.7092116	1.994064	91.72694	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	6	0x0000000000000044	1649964592.169257111	1649964592.169257111	0.000000000	1	2	eth:arp	48:5a:b6:6f:20:d7	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	48:5a:b6:6f:20:d7_ff:ff:ff:ff:ff:ff_1	HonHaiPre,CN_Broadcast	0	unknown	1	0	46	0	46	46	46	46	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	7	0x0000000000000044	1649964592.169270701	1649964592.169270701	0.000000000	1	2	eth:arp	08:00:27:50:4c:14	48:5a:b6:6f:20:d7	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	08:00:27:50:4c:14_48:5a:b6:6f:20:d7_1	PcsSystem,US_HonHaiPre,CN	0	unknown	1	0	28	0	28	28	28	28	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	5	0x0400000000004000	1649964592.150501483	1649964592.193447154	0.042945671	1	3	eth:ipv4:tcp	08:00:27:50:4c:14	48:5a:b6:6f:20:d7	0x0800		192.168.1.86	07	"Private network"	39495	192.168.1.91	07	"Private network"	912	6	0x00	1	08:00:27:50:4c:14_48:5a:b6:6f:20:d7_6	PcsSystem,US_HonHaiPre,CN	912	apex-mesh	6	2	10131	0	0	2896	1688.5	1543.685	0	0.02368765	0.007157611	0.01270757	139.7114	235902.7	0.5	1	0x0a13	1	2	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3202227490	5	8688	0	5	0	0	8688	64240	64253.31	64240	64256	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	128	0x0000	0x00	0	0x00	65014963	0	0.001	65014.966088	1649899577.3523326405	0.02366435	0.009522912	0.02366435	0.01659363	0.009999508	0.02368765	0	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	124	414448
B	5	0x0400000000004001	1649964592.174165836	1649964592.202970058	0.028804222	1	3	eth:ipv4:tcp	48:5a:b6:6f:20:d7	08:00:27:50:4c:14	0x0800		192.168.1.91	07	"Private network"	912	192.168.1.86	07	"Private network"	39495	6	0x00	1	48:5a:b6:6f:20:d7_08:00:27:50:4c:14_2	HonHaiPre,CN_PcsSystem,US	912	apex-mesh	2	6	0	10131	0	0	0	0	0	0.02880422	0.01440211	0.02036766	69.43427	0	-0.5	-1	0x0213	4	4	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2304239551	2	0	0	2	10132	0	0	64240	63807.1	62797	64240	1	0	0	0	0x0212	0x3000	2	12	0x0000011e	1460	1	0x0000	0x00	0	0x00	6351	65014962	0.001	6.351000	1649964585.4147937053	2.3296e-05	2.3296e-05	0.01928131	0.01258742	0.01045739	0.02918106	0.01446883	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	68	13149
A	3	0x0800000000008000	1649964596.117401401	1649964601.127658499	5.010257098	1	3	eth:ipv6:icmpv6	34:57:60:db:a4:2f	08:00:27:50:4c:14	0x86dd		fe80::3657:60ff:fedb:a42f	02	"Link-local"	0	fe80::a00:27ff:fe50:4c14	02	"Link-local"	0	58	0x00	1	34:57:60:db:a4:2f_08:00:27:50:4c:14_2	MitraStar,TW_PcsSystem,US	0	unknown	2	4	40	152	16	24	20	12.64911	0	5.010257	2.505129	3.542787	0.3991811	7.983622	-0.3333333	-0.5833333	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	6.6248e-05	6.6248e-05	1.6562e-05	3.3124e-05	0	0	0x00	0x01	2	0x00000180_0x00000000_0x0001	0x00000000	-2	0	2	2	2	3	1.5	1.5	24	520
B	3	0x0800000000008001	1649964590.884393853	1649964601.127724747	10.243330894	1	3	eth:ipv6:icmpv6	08:00:27:50:4c:14	34:57:60:db:a4:2f	0x86dd		fe80::a00:27ff:fe50:4c14	02	"Link-local"	0	fe80::3657:60ff:fedb:a42f	02	"Link-local"	0	58	0x00	1	08:00:27:50:4c:14_34:57:60:db:a4:2f_4	PcsSystem,US_MitraStar,TW	0	unknown	4	2	152	40	16	56	38	35.42755	0	5.01441	2.560833	2.529991	0.390498	14.83892	0.3333333	0.5833333	0x0001	65535	0	64	255	1	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.004087184	5.014344	2.509216	3.542788	2.509232	3.542788	0x00	0x01	4	0x00000182_0x00000000_0x0001	0x00000000	0	0	2	2	1	2	1	2	10	272
A	16	0x0400000000004000	1649964620.251980451	1649964620.251980451	0.000000000	1	3	eth:ipv4:udp	48:5a:b6:6f:20:d7	ff:ff:ff:ff:ff:ff	0x0800		192.168.1.35	07	"Private network"	138	192.168.1.255	07	"Private network"	138	17	0x00	1	48:5a:b6:6f:20:d7_ff:ff:ff:ff:ff:ff_1	HonHaiPre,CN_Broadcast	138	netbios-dgm	1	0	201	0	201	201	201	201	0	0	0	0	0	0	1	1	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	1	1	0.25	1	19	201
A	17	0x0400000002004000	1649964637.906800710	1649964640.909807523	3.003006813	1	4	eth:ipv4:udp:ssdp	24:41:8c:64:12:11	01:00:5e:7f:ff:fa	0x0800		192.168.1.61	07	"Private network"	54998	239.255.255.250	10	"Organization-Local Scope"	1900	17	0x00	1	24:41:8c:64:12:11_01:00:5e:7f:ff:fa_4	IntelCorp,MY_IPv4Multi	1900	ssdp	4	0	696	0	174	174	174	87	0	1.001366	0.7507517	0.5839192	1.331998	231.7677	1	1	0x0001	1	1	1	1	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	4	696
A	9	0x0000000000000024	1649964596.468671404	1649964644.514776579	48.046105175	1	2	eth:lldp	24:41:8c:64:12:11	01:80:c2:00:00:0e	0x88cc		-	-	"-"	0	-	-	"-"	0	0	0x00	1	24:41:8c:64:12:11_01:80:c2:00:00:0e_7	IntelCorp,MY_NearestBr	0	unknown	7	0	938	0	134	134	134	50.64724	0	8.008803	6.863729	3.696057	0.1456934	19.52291	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
