flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
43	A	1722697816.703363000	6	0x01db	192.168.1.200	51.124.78.146	51380	443
43	B	1722697816.747690000	6	0x035b	51.124.78.146	192.168.1.200	443	51380
38	A	1722697812.846626000	6	0x01db	192.168.1.200	20.42.73.25	51379	443
38	B	1722697812.940283000	6	0x035b	20.42.73.25	192.168.1.200	443	51379
86	A	1722697873.156609000	6	0x01db	192.168.1.200	184.28.177.5	51385	80
86	B	1722697873.164546000	6	0x031b	184.28.177.5	192.168.1.200	80	51385
1	A	1722697778.402900000	17	0x0000	192.168.1.197	192.168.1.255	33949	15600
5	A	1722697780.088683000	17	0x0000	192.168.1.1	239.255.255.250	60899	1900
6	A	1722697780.838594000	17	0x0000	192.168.1.1	239.255.255.250	54622	1900
8	A	1722697781.298397000	17	0x0000	192.168.1.197	239.255.255.250	38679	15600
9	A	1722697784.342306000	17	0x0000	192.168.1.197	192.168.1.255	54571	15600
11	A	1722697787.301130000	17	0x0000	192.168.1.197	239.255.255.250	33693	15600
12	A	1722697787.599451000	17	0x0000	192.168.1.197	239.255.255.250	3955	1900
13	A	1722697790.383942000	17	0x0000	192.168.1.197	192.168.1.255	42217	15600
14	A	1722697791.088825000	17	0x0000	192.168.1.1	239.255.255.250	49246	1900
15	A	1722697791.838908000	17	0x0000	192.168.1.1	239.255.255.250	54848	1900
16	A	1722697793.301025000	17	0x0000	192.168.1.197	239.255.255.250	53471	15600
17	A	1722697796.323303000	17	0x0000	192.168.1.197	192.168.1.255	38123	15600
21	A	1722697799.302008000	17	0x0000	192.168.1.197	239.255.255.250	56500	15600
18	A	1722697796.668729000	17	0x0000	192.168.1.214	239.255.255.250	52694	1900
19	A	1722697796.672862000	17	0x0000	192.168.1.214	239.255.255.250	52696	1900
22	A	1722697801.094817000	17	0x0000	192.168.1.1	239.255.255.250	48040	1900
23	A	1722697801.839019000	17	0x0000	192.168.1.1	239.255.255.250	41166	1900
24	A	1722697802.365008000	17	0x0000	192.168.1.195	255.255.255.255	51957	47808
26	A	1722697802.467656000	17	0x0000	192.168.1.197	192.168.1.255	51483	15600
28	A	1722697805.303333000	17	0x0000	192.168.1.197	239.255.255.250	58438	15600
30	A	1722697808.408358000	17	0x0000	192.168.1.197	192.168.1.255	38305	15600
31	A	1722697811.304889000	17	0x0000	192.168.1.197	239.255.255.250	39532	15600
32	A	1722697812.090132000	17	0x0000	192.168.1.1	239.255.255.250	36594	1900
33	A	1722697812.814754000	17	0x0000	192.168.1.200	8.8.8.8	58775	53
33	B	1722697812.845014000	17	0x0000	8.8.8.8	192.168.1.200	53	58775
34	A	1722697812.814954000	17	0x0000	192.168.1.200	8.8.8.8	60240	53
34	B	1722697812.845014000	17	0x0000	8.8.8.8	192.168.1.200	53	60240
35	A	1722697812.841733000	17	0x0000	192.168.1.1	239.255.255.250	48067	1900
39	A	1722697814.346022000	17	0x0000	192.168.1.197	192.168.1.255	47319	15600
40	A	1722697814.480909000	17	0x0000	192.168.1.137	239.255.255.250	46105	1900
42	A	1722697816.691320000	17	0x0000	192.168.1.200	8.8.8.8	61825	53
42	B	1722697816.702469000	17	0x0000	8.8.8.8	192.168.1.200	53	61825
41	A	1722697816.691183000	17	0x0000	192.168.1.200	8.8.8.8	61455	53
41	B	1722697816.702469000	17	0x0000	8.8.8.8	192.168.1.200	53	61455
44	A	1722697817.314752000	17	0x0000	192.168.1.197	239.255.255.250	49047	15600
45	A	1722697820.387587000	17	0x0000	192.168.1.197	192.168.1.255	43915	15600
46	A	1722697822.090555000	17	0x0000	192.168.1.1	239.255.255.250	40114	1900
47	A	1722697822.839384000	17	0x0000	192.168.1.1	239.255.255.250	57554	1900
48	A	1722697823.307341000	17	0x0000	192.168.1.197	239.255.255.250	43303	15600
51	A	1722697826.326980000	17	0x0000	192.168.1.197	192.168.1.255	45878	15600
52	A	1722697829.308817000	17	0x0000	192.168.1.197	239.255.255.250	57108	15600
53	A	1722697832.368957000	17	0x0000	192.168.1.197	192.168.1.255	50292	15600
54	A	1722697833.095129000	17	0x0000	192.168.1.1	239.255.255.250	45012	1900
55	A	1722697833.844510000	17	0x0000	192.168.1.1	239.255.255.250	48525	1900
56	A	1722697835.309584000	17	0x0000	192.168.1.197	239.255.255.250	60343	15600
57	A	1722697838.410313000	17	0x0000	192.168.1.197	192.168.1.255	42625	15600
58	A	1722697841.310585000	17	0x0000	192.168.1.197	239.255.255.250	47792	15600
59	A	1722697843.092265000	17	0x0000	192.168.1.1	239.255.255.250	38412	1900
60	A	1722697843.846172000	17	0x0000	192.168.1.1	239.255.255.250	42426	1900
61	A	1722697844.349703000	17	0x0000	192.168.1.197	192.168.1.255	51389	15600
62	A	1722697847.312487000	17	0x0000	192.168.1.197	239.255.255.250	55477	15600
63	A	1722697850.391376000	17	0x0000	192.168.1.197	192.168.1.255	47189	15600
64	A	1722697853.312804000	17	0x0000	192.168.1.197	239.255.255.250	55115	15600
65	A	1722697854.090269000	17	0x0000	192.168.1.1	239.255.255.250	41917	1900
66	A	1722697854.839331000	17	0x0000	192.168.1.1	239.255.255.250	49472	1900
67	A	1722697856.330702000	17	0x0000	192.168.1.197	192.168.1.255	35187	15600
68	A	1722697859.313790000	17	0x0000	192.168.1.197	239.255.255.250	51825	15600
69	A	1722697862.372384000	17	0x0000	192.168.1.197	192.168.1.255	49565	15600
70	A	1722697864.089408000	17	0x0000	192.168.1.1	239.255.255.250	54284	1900
71	A	1722697864.840328000	17	0x0000	192.168.1.1	239.255.255.250	47893	1900
72	A	1722697865.315030000	17	0x0000	192.168.1.197	239.255.255.250	58383	15600
76	A	1722697867.899692000	58	0x0000	fe80::bcdb:9bc3:9f17:65b1	ff02::1:3	0	0
77	A	1722697868.415106000	17	0x0000	192.168.1.197	192.168.1.255	50804	15600
78	A	1722697868.823320000	58	0x0000	fe80::1f81:5bd2:139d:2c2d	ff02::c	0	0
82	A	1722697871.316040000	17	0x0000	192.168.1.197	239.255.255.250	58301	15600
84	A	1722697873.142148000	17	0x0000	192.168.1.200	8.8.8.8	52380	53
84	B	1722697873.154988000	17	0x0000	8.8.8.8	192.168.1.200	53	52380
85	A	1722697873.142266000	17	0x0000	192.168.1.200	8.8.8.8	58730	53
85	B	1722697873.156234000	17	0x0000	8.8.8.8	192.168.1.200	53	58730
88	A	1722697874.455839000	17	0x0000	192.168.1.197	192.168.1.255	37237	15600
89	A	1722697874.483703000	17	0x0000	192.168.1.137	239.255.255.250	48774	1900
91	A	1722697875.090643000	17	0x0000	192.168.1.1	239.255.255.250	60535	1900
92	A	1722697875.849285000	17	0x0000	192.168.1.1	239.255.255.250	51054	1900
93	A	1722697877.317057000	17	0x0000	192.168.1.197	239.255.255.250	34441	15600
90	A	1722697874.672137000	17	0x0000	192.168.1.195	239.255.255.250	58623	1900
94	A	1722697880.394763000	17	0x0000	192.168.1.197	192.168.1.255	48557	15600
96	A	1722697880.949592000	17	0x0000	192.168.1.197	192.168.1.200	42857	58731
97	A	1722697882.148187000	17	0x0000	192.168.1.197	192.168.1.200	50662	58731
99	A	1722697882.999533000	17	0x0000	192.168.1.197	192.168.1.200	55176	58731
100	A	1722697883.342530000	17	0x0000	192.168.1.197	239.255.255.250	52649	15600
95	A	1722697880.946158000	17	0x0000	192.168.1.200	239.255.255.250	58731	1900
