flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
2	A	1722880127.941820793	6	0x0006	192.168.1.241	192.168.1.195	52378	4840
2	B	1722880128.147402004	6	0x0212	192.168.1.195	192.168.1.241	4840	52378
16	A	1722880129.405833253	6	0x0006	192.168.1.241	192.168.1.195	52383	4840
16	B	1722880129.408671056	6	0x0212	192.168.1.195	192.168.1.241	4840	52383
17	A	1722880129.601892833	6	0x011b	192.168.1.241	192.168.1.195	50416	4840
17	B	1722880129.605918358	6	0x0313	192.168.1.195	192.168.1.241	4840	50416
18	A	1722880140.613186526	6	0x011b	192.168.1.241	192.168.1.195	37036	4840
18	B	1722880140.617161616	6	0x031b	192.168.1.195	192.168.1.241	4840	37036
19	A	1722880140.648555243	6	0x011b	192.168.1.241	192.168.1.195	37046	4840
19	B	1722880140.653581278	6	0x031b	192.168.1.195	192.168.1.241	4840	37046
20	A	1722880140.666158815	6	0x011b	192.168.1.241	192.168.1.195	37056	4840
20	B	1722880140.668425821	6	0x031b	192.168.1.195	192.168.1.241	4840	37056
21	A	1722880140.675990954	6	0x011b	192.168.1.241	192.168.1.195	37058	4840
21	B	1722880140.681100870	6	0x031b	192.168.1.195	192.168.1.241	4840	37058
22	A	1722880140.685847187	6	0x011b	192.168.1.241	192.168.1.195	37070	4840
22	B	1722880140.688260146	6	0x031b	192.168.1.195	192.168.1.241	4840	37070
23	A	1722880140.694572330	6	0x011b	192.168.1.241	192.168.1.195	37072	4840
23	B	1722880140.697061012	6	0x0313	192.168.1.195	192.168.1.241	4840	37072
24	A	1722880145.701296817	6	0x011b	192.168.1.241	192.168.1.195	52244	4840
24	B	1722880145.704367620	6	0x0313	192.168.1.195	192.168.1.241	4840	52244
25	A	1722880153.209596148	6	0x011b	192.168.1.241	192.168.1.195	37922	4840
25	B	1722880153.213027131	6	0x0313	192.168.1.195	192.168.1.241	4840	37922
26	A	1722880158.217704576	6	0x011b	192.168.1.241	192.168.1.195	37934	4840
26	B	1722880158.222929569	6	0x031b	192.168.1.195	192.168.1.241	4840	37934
46	A	1722880168.847643430	6	0x0006	192.168.1.241	192.168.1.195	51474	4840
46	B	1722880168.850541277	6	0x0212	192.168.1.195	192.168.1.241	4840	51474
47	A	1722880168.948224803	6	0x0006	192.168.1.241	192.168.1.195	51475	4840
47	B	1722880168.950763778	6	0x0212	192.168.1.195	192.168.1.241	4840	51475
48	A	1722880169.048863852	6	0x0006	192.168.1.241	192.168.1.195	51476	4840
48	B	1722880169.051403544	6	0x0212	192.168.1.195	192.168.1.241	4840	51476
49	A	1722880169.149461158	6	0x0006	192.168.1.241	192.168.1.195	51477	4840
49	B	1722880169.152039590	6	0x0212	192.168.1.195	192.168.1.241	4840	51477
50	A	1722880169.250105740	6	0x0006	192.168.1.241	192.168.1.195	51478	4840
50	B	1722880169.252707255	6	0x0212	192.168.1.195	192.168.1.241	4840	51478
51	A	1722880169.350637873	6	0x0006	192.168.1.241	192.168.1.195	51479	4840
51	B	1722880169.353577245	6	0x0212	192.168.1.195	192.168.1.241	4840	51479
54	A	1722880169.452215704	6	0x00c6	192.168.1.241	192.168.1.195	51486	4840
54	B	1722880169.455652412	6	0x0212	192.168.1.195	192.168.1.241	4840	51486
61	A	1722880171.266811113	6	0x0006	192.168.1.241	192.168.1.195	51474	4840
61	B	1722880171.269870877	6	0x0212	192.168.1.195	192.168.1.241	4840	51474
62	A	1722880171.367350037	6	0x0006	192.168.1.241	192.168.1.195	51475	4840
62	B	1722880171.370795966	6	0x0212	192.168.1.195	192.168.1.241	4840	51475
63	A	1722880171.468494304	6	0x0006	192.168.1.241	192.168.1.195	51476	4840
63	B	1722880171.473076154	6	0x0212	192.168.1.195	192.168.1.241	4840	51476
64	A	1722880171.568520621	6	0x0006	192.168.1.241	192.168.1.195	51477	4840
64	B	1722880171.571769758	6	0x0212	192.168.1.195	192.168.1.241	4840	51477
65	A	1722880171.669137385	6	0x0006	192.168.1.241	192.168.1.195	51478	4840
65	B	1722880171.672587442	6	0x0212	192.168.1.195	192.168.1.241	4840	51478
66	A	1722880171.769683391	6	0x0006	192.168.1.241	192.168.1.195	51479	4840
66	B	1722880171.773162142	6	0x0212	192.168.1.195	192.168.1.241	4840	51479
68	A	1722880171.871264597	6	0x00c6	192.168.1.241	192.168.1.195	51486	4840
68	B	1722880171.875324382	6	0x0212	192.168.1.195	192.168.1.241	4840	51486
27	A	1722880158.251259152	6	0x011b	192.168.1.241	192.168.1.195	37944	4840
27	B	1722880158.255207524	6	0x0313	192.168.1.195	192.168.1.241	4840	37944
28	A	1722880163.257660706	6	0x011b	192.168.1.241	192.168.1.195	60842	4840
28	B	1722880163.423467225	6	0x031b	192.168.1.195	192.168.1.241	4840	60842
29	A	1722880163.457824310	6	0x011b	192.168.1.241	192.168.1.195	60846	4840
29	B	1722880163.461816585	6	0x031b	192.168.1.195	192.168.1.241	4840	60846
30	A	1722880163.478572103	6	0x011b	192.168.1.241	192.168.1.195	60854	4840
30	B	1722880163.482345005	6	0x031b	192.168.1.195	192.168.1.241	4840	60854
31	A	1722880163.498093354	6	0x011b	192.168.1.241	192.168.1.195	60856	4840
31	B	1722880163.501011740	6	0x031b	192.168.1.195	192.168.1.241	4840	60856
32	A	1722880163.511845670	6	0x011b	192.168.1.241	192.168.1.195	60870	4840
32	B	1722880163.514626849	6	0x031b	192.168.1.195	192.168.1.241	4840	60870
33	A	1722880163.536780296	6	0x011b	192.168.1.241	192.168.1.195	60882	4840
33	B	1722880163.540923022	6	0x031b	192.168.1.195	192.168.1.241	4840	60882
34	A	1722880163.552194357	6	0x011b	192.168.1.241	192.168.1.195	60898	4840
34	B	1722880163.555897707	6	0x031b	192.168.1.195	192.168.1.241	4840	60898
35	A	1722880163.579281819	6	0x011b	192.168.1.241	192.168.1.195	60906	4840
35	B	1722880163.583317813	6	0x031b	192.168.1.195	192.168.1.241	4840	60906
36	A	1722880163.600058806	6	0x011b	192.168.1.241	192.168.1.195	60922	4840
36	B	1722880163.603183893	6	0x031b	192.168.1.195	192.168.1.241	4840	60922
37	A	1722880163.615223985	6	0x011b	192.168.1.241	192.168.1.195	60932	4840
37	B	1722880163.617573840	6	0x031b	192.168.1.195	192.168.1.241	4840	60932
38	A	1722880163.622894471	6	0x011b	192.168.1.241	192.168.1.195	60944	4840
38	B	1722880163.625700966	6	0x031b	192.168.1.195	192.168.1.241	4840	60944
39	A	1722880163.631855682	6	0x011b	192.168.1.241	192.168.1.195	60956	4840
