flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
6	A	1722879284.253332250	6	0x011b	192.168.1.241	192.168.1.195	58278	4840
6	B	1722879284.388691121	6	0x031b	192.168.1.195	192.168.1.241	4840	58278
7	A	1722879284.417156116	6	0x011b	192.168.1.241	192.168.1.195	58292	4840
7	B	1722879284.419933134	6	0x031b	192.168.1.195	192.168.1.241	4840	58292
1	A	1722879281.740757989	6	0x0002	192.168.1.241	192.168.1.195	33750	49320
2	A	1722879282.243157461	6	0x0002	192.168.1.241	192.168.1.195	43874	62541
3	A	1722879282.745033392	6	0x0002	192.168.1.241	192.168.1.195	49878	4897
4	A	1722879283.247318017	6	0x0002	192.168.1.241	192.168.1.195	54024	53530
5	A	1722879283.749486506	6	0x0002	192.168.1.241	192.168.1.195	37026	48050
8	A	1722879284.441810194	6	0x0002	192.168.1.241	192.168.1.195	49792	26543
9	A	1722879298.729124553	6	0x011b	192.168.1.241	192.168.1.195	39896	4840
9	B	1722879298.733925481	6	0x031b	192.168.1.195	192.168.1.241	4840	39896
10	A	1722879298.739504665	6	0x011b	192.168.1.241	192.168.1.195	39910	4840
10	B	1722879298.742992081	6	0x031b	192.168.1.195	192.168.1.241	4840	39910
11	A	1722879298.760293671	6	0x011b	192.168.1.241	192.168.1.195	39924	4840
11	B	1722879298.762817775	6	0x031b	192.168.1.195	192.168.1.241	4840	39924
12	A	1722879298.870170862	6	0x011b	192.168.1.241	192.168.1.195	39928	4840
12	B	1722879298.873845947	6	0x031b	192.168.1.195	192.168.1.241	4840	39928
