Fichero pcap;Tipo de ataque L1->ataque seguro / L2 -> dependientes del contexto;Nº DE FLUJOS CON ATAQUE/S;Nº ATAQUES (INSTANCIAS) TOTALES;APP (Deteccion motor de aplicacion) relacionados;Attackids (sin repetición) (FIRMAS IPS);#Attackid (IPS);Número total de alertas (IPS);Nº FLUJOS DETECTADOS POR MOTOR IPS;Nº FLUJOS DETECTADOS  L2(APPLICATION CONTROL);ATAQUES NO DETECTADOS
;;;;;;;;;;
;;;;;;;;;;
T0848-RogueMaster-IEC-104_[2].pcapng;L2;6;50;104apci-unnumbered-stopdt-con, 104asdu-system-control-type105;92546;1;5;1;5;Control de Aplicaión, no detecta todo el tráfico IEC-104
T0848-RogueMaster-DNP3-FIXED_[1].pcapng;L2;1;217;dnp3-read;31659,31661,31663,31665,31666;5;422;1;1;Control de Aplicación, no identifica todo el tráfico DNP3
T0858-ChangeOPMode-Omron_[2].pcapng;L2;1;6;omron-fins-run;-;0;0;0;1;No se detecta comando STOP
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
T0846-DiscoverMetasp-Modbus_[1].pcapng;L2;1;1;-;-;0;0;0;0;No detecta comando modbus Read Input Registers
T0888-DiscverFindID-Modbus_[1].pcapng / T0888-DiscverCoils-Modbus_[1].pcapng / T0888-DiscverRegisters-Modbus_[1].pcapng / T0888-DiscverRegisters2-Modbus_[1].pcapng;L2;20;20;modbus-read-holding-registers, modbus-read-coils;31667;3;3;3;3;Control de Aplicación no identifica tipo de  tráfico --> insufficient data
T0888-DiscoverInfo-DNP3_[1].pcapng;L2;1;30;-;31661,31665,31666;3;54;1;0;Control de Aplicación, no identifica tráfico DNP3
T0846-Discovery-BacNet_[2].pcap ;L2;1;9;bacnet-complex-ack;-;0;0;0;0;Control de aplicación-> no identifica trafico de ataque BAnet
T0846-Discovery-IEC104_[2].pcapng;L2;29;66;104asdu-system-control-type100, ;30520,35364,92546,94318;5;7;6;1;Control de Aplicaión, no detecta todo el tráfico IEC-104
T0888-ScanInfo-MQTT_[2].pcap / T0888-ScanInfo-MQTT-noAuth_[2].pcap;L2;1;3;"mqtt-disconnect	mqtt,";-;0;0;0;0;Control de Aplicación->No reconoce tráfico MQTT
;;;;;;;;;;
T0888-ScanInfo-OPCUA-OpcScan_[2].pcapng;L2;6;39;opc-ua-create-session-req, opc-ua-close;-;0;0;0;2;Control de aplicación-> sólo detecta apertura y cierrre de sesión opc ua
;;;;;;;;;;
;;;;;;;;;;
T0843-ProgDownload-IEC104_[2].pcapng;L2;1;3508;-;92546;1;1;1;0;Control de Aplicaión, no detecta todo el tráfico IEC-104
T0886-BruteForce-MQTT_[2].pcapng;L1;400;401;mqtt-base ;-;0;0;0;400;Control de Aplicación-> detección de tráfico generico mqtt-base, sin especificar funciones
T0843-FileRead-DNP3-FIXED_[1].pcapng / T0843-FileWrite-DNP3-FIXED_[1].pcapng;L2;2;171;-;31661,31665,31666;3;738;2;1;Control de Aplicación, no identifica tráfico DNP3
;;;;;;;;;;
T0802-AutoCollect-OPCUA_[2].pcapng;L2;2;114;opc-ua-close;-;0;0;0;0;No identifica tráfico de ataque opcua-->opcua read requests
T0830-MITM-BacNet-FIXED_[2].pcapng;L2;1;6892;bacnet-i-am;-;0;0;0;0;No detectatráfico de ataque bacnet readproperty
T0802-AutoCollect-SNMP_[1].pcapng;l2;1;45;snmpv1;-;0;0;0;1;No identifica tráfico específico SNMP
T0809-DataDestroy-OMRON_[2].pcapng;l2;1;93;omron-fins-forced-set-cancel;-;0;0;0;1;Solo detecta una función FINS
T0814-DoS-OPCUA_[2].pcap;L1;1;463;-;-;0;0;0;0;Control de aplicación-> no detecta paquetes OPC UA secure conversation message
T0816-RestartAllenBradley-SNMP_[2].pcapng;L1;1;1;cip-ethernet-ip-send-rr-data, snmp-base;-;0;0;0;1;Control de Aplicación-> no especifica tipo de paquete snmp
T0816-StopCommand-S7Comm_[2].pcapng;L2;1;1;siemens-s7-base;-;0;0;0;1;Control de Aplicación-> no identifica paquete STOP
;;;;;;;;;;
T0816-ShtDownAllenBradley-CIP_[1].pcapng;L2;1;1;-;90215;1;1;1;0;Control de Aplicación-> no detecta orden CIP
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;L1;6;9;-;33515;1;;3;0;problema parametro -m
T0885-C&Cp502Ignition-HTTP_[1].pcapng;L1;4;5;web-browsing;9999,33515;2;2;4;2;problema parametro -m
T0885-C&Cp20000RWin-TCP_[1].pcapng;L1;2;3;-;33515;1;;1;0;problema parametro -m
T0885-C&Cp102Ignition-TCP_[1].pcapng;L1;4;5;web-browsing;9999,33515;2;4;4;2;problema parametro -m
T0831-Modifparam-IEC104_[2].pcapng;L2;1;16;-;92546;1;1;1;0;Control de Aplicaión, no detecta todo el tráfico IEC-104
T0882-DirectoryRead-IEC104_[2].pcapng;L2;1;10;104apci-unnumbered-startdt-con, 104apci-supervisory;92546;1;2;1;2;Control de Aplicaión, no detecta todo el tráfico IEC-104
T0831-ModifParam-DNP3_[1].pcapng;L2;1;2;dnp3-read;31661,31665,31666;3;221;1;1;Control de Aplicación, no identifica todo el tráfico DNP3
T0882-DirRead-DNP3-FIXED_[1].pcapng;L2;1;3;dnp3-read;31661,31665;2;106;1;1;Control de Aplicación, no identifica todo el tráfico DNP3
